QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.0	0	0	0
1	0.0	0	0	0
2	0.0	1	1	0
3	0.2	0	0	0
4	0.0	0	0	0
5	0.25	0	0	0
6	0.0	0	0	0
7	0.0	0	0	0
8	0.0	0	0	0
9	0.0	0	0	0
10	0.0	0	0	0
11	0.7916666666666666	0	0	0
12	0.14754098360655737	0	0	0
13	0.0	0	0	0
14	0.0	1	1	0
15	0.023474178403755867	0	0	0
16	0.6206896551724138	0	0	0
17	0.13529411764705881	0	0	0
18	0.0	0	0	0
19	1.0	0	1	0
20	0.75	0	0	0
21	0.7777777777777778	0	0	0
22	0.0	0	0	0
23	0.6666666666666666	0	0	0
24	0.0	0	0	0
25	0.17857142857142858	0	0	0
26	0.3	0	0	0
27	0.0	0	0	0
28	0.3181818181818182	0	0	0
29	0.0	0	0	0
30	0.4	0	0	0
31	0.0	0	0	0
32	0.6666666666666666	0	0	0
33	0.0	0	0	0
34	0.0	1	1	0
35	0.25	0	0	0
36	0.0	1	1	0
37	0.0	0	0	0
38	1.0	0	1	0
39	0.0	1	1	0
40	0.2857142857142857	0	0	0
41	0.0	1	1	0
42	0.0	0	0	0
43	0.0979020979020979	0	0	0
44	0.5	0	0	0
45	0.0	0	0	0
46	0.0	0	0	0
47	0.0	0	0	0
48	0.23809523809523808	0	0	0
49	0.2222222222222222	0	0	0
50	0.0	0	0	0
51	0.0	0	0	0
52	0.06395348837209303	0	0	0
53	0.4444444444444444	0	0	0
54	0.29333333333333333	0	0	0
55	0.0	1	1	0
56	0.0	0	0	0
57	0.0	0	0	0
58	0.0	0	0	0
59	0.0	0	0	0
60	0.0	1	1	0
61	0.0	0	0	0
62	0.0	1	1	0
63	0.0	0	0	0
64	0.1085972850678733	0	0	0
65	0.038461538461538464	0	0	0
66	0.2	0	0	0
67	0.65625	0	0	0
68	0.0	0	0	0
69	0.0	1	1	0
70	0.0	0	0	0
71	0.1111111111111111	0	0	0
72	0.3333333333333333	0	0	0
73	0.3076923076923077	0	0	0
74	0.0	0	0	0
75	0.0	0	0	0
76	0.0	0	0	0
77	0.01818181818181818	0	0	0
78	0.7123287671232876	0	0	0
79	0.8461538461538461	0	0	0
80	0.922077922077922	0	0	0
81	0.27586206896551724	0	0	0
82	0.75	0	0	0
83	1.0	0	1	0
84	0.25	0	0	0
85	0.3076923076923077	0	0	0
86	0.22535211267605634	0	0	0
87	0.16666666666666666	0	0	0
88	0.1	0	0	0
89	0.0	1	1	0
90	0.0	0	0	0
91	0.16666666666666666	0	0	0
92	0.0	0	0	0
93	0.0	1	1	0
94	0.0	1	1	0
95	0.0	0	0	0
96	0.0	1	1	0
97	0.0	1	1	0
98	0.0	0	0	0
99	0.0	0	0	0
100	0.1891891891891892	0	0	0
101	0.0	0	0	0
102	0.0625	0	0	0
103	0.0	0	0	0
104	0.07407407407407407	0	0	0
105	0.0	1	1	0
106	0.0	0	0	0
107	0.14556962025316456	0	0	0
108	0.0	0	0	0
109	0.0	0	0	0
110	0.0	0	0	0
111	0.0	1	1	0
112	0.0	0	0	0
113	0.0	0	0	0
114	0.3142857142857143	0	0	0
115	0.6666666666666666	0	0	0
116	0.0	0	0	0
117	0.25	0	0	0
118	0.0	0	0	0
119	0.0	0	0	0
120	0.0	1	1	0
121	0.8333333333333334	0	0	0
122	0.0	1	1	0
123	0.0	0	0	0
124	0.0	0	0	0
125	0.23809523809523808	0	0	0
126	0.0	0	0	0
127	0.0	1	1	0
128	0.0	0	0	0
129	0.0	1	1	0
130	0.0	0	0	0
131	0.0	0	0	0
132	0.0	0	0	0
133	0.0	0	0	0
134	0.18181818181818182	0	0	0
135	0.0	0	0	0
136	0.0	1	1	0
137	0.0	0	0	0
138	0.0	0	0	0
139	0.0	0	0	0
140	0.0	0	0	0
141	0.0	0	0	0
142	1.0	0	1	0
143	0.0	0	0	0
144	0.25	0	0	0
145	0.0	0	0	0
146	0.03571428571428571	0	0	0
147	0.8	0	0	0
148	1.0	0	1	0
149	0.25	0	0	0
