QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.8666666666666667	0	0	0
2	1.0	0	1	0
3	1.0	0	1	0
4	0.42857142857142855	0	0	0
5	1.0	0	1	0
6	0.25	0	0	0
7	0.75	0	0	0
8	1.0	0	1	0
9	1.0	0	1	0
10	0.8695652173913043	0	0	0
11	1.0	0	1	0
12	0.75	0	0	0
13	0.9305555555555556	0	0	0
14	0.6	0	0	0
15	0.125	0	0	0
16	1.0	0	1	0
17	0.45454545454545453	0	0	0
18	1.0	0	1	0
19	0.8108108108108109	0	0	0
20	0.0	0	0	0
21	0.008264462809917356	0	0	0
22	0.25	0	0	0
23	0.11440677966101695	0	0	0
24	1.0	0	1	0
25	0.9230769230769231	0	0	0
26	0.0	0	0	0
27	1.0	0	1	0
28	1.0	0	1	0
29	1.0	0	1	0
30	0.6666666666666666	0	0	0
31	1.0	0	1	0
32	1.0	0	1	0
33	1.0	0	1	0
34	0.0	0	0	0
35	1.0	0	1	0
36	1.0	0	1	0
37	0.0	0	0	0
38	0.5	0	0	0
39	0.8	0	0	0
40	0.8571428571428571	0	0	0
41	1.0	0	1	0
42	1.0	0	1	0
43	0.671875	0	0	0
44	0.9696969696969697	0	0	0
45	1.0	0	1	0
46	1.0	0	1	0
47	0.0	1	1	0
48	0.5	0	0	0
49	0.6666666666666666	0	0	0
50	1.0	0	1	0
51	1.0	0	1	0
52	1.0	0	1	0
53	0.05630630630630631	0	0	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.6219512195121951	0	0	0
57	0.5	0	0	0
58	0.6666666666666666	0	0	0
59	0.0	0	0	0
60	0.0	0	0	0
61	0.625	0	0	0
62	1.0	0	1	0
63	1.0	0	1	0
64	0.5	0	0	0
65	1.0	0	1	0
66	0.0	0	0	0
67	1.0	0	1	0
68	0.25	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	1.0	0	1	0
72	1.0	0	1	0
73	1.0	0	1	0
74	1.0	0	1	0
75	1.0	0	1	0
76	0.7777777777777778	0	0	0
77	1.0	0	1	0
78	1.0	0	1	0
79	1.0	0	1	0
80	1.0	0	1	0
81	0.3333333333333333	0	0	0
82	0.0	0	0	0
83	1.0	0	1	0
84	0.31746031746031744	0	0	0
85	0.47928994082840237	0	0	0
86	1.0	0	1	0
87	0.5	0	0	0
88	0.5	0	0	0
89	0.7777777777777778	0	0	0
90	0.07692307692307693	0	0	0
91	1.0	0	1	0
92	1.0	0	1	0
93	1.0	0	1	0
94	1.0	0	1	0
95	0.9230769230769231	0	0	0
96	1.0	0	1	0
97	0.16363636363636364	0	0	0
98	1.0	0	1	0
99	0.0	1	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	0.0	1	1	0
104	1.0	0	1	0
105	0.0	0	0	0
106	1.0	0	1	0
107	0.0	0	0	0
108	0.0	1	1	0
109	0.5357142857142857	0	0	0
110	1.0	0	1	0
111	0.6666666666666666	0	0	0
112	0.0	1	1	0
113	0.0	0	0	0
114	0.42857142857142855	0	0	0
115	1.0	0	1	0
116	0.9347826086956522	0	0	0
117	0.4	0	0	0
118	1.0	0	1	0
119	1.0	0	1	0
120	0.17647058823529413	0	0	0
121	0.038461538461538464	0	0	0
122	1.0	0	1	0
123	0.0	1	1	0
124	0.0	0	0	0
125	0.0	0	0	0
126	1.0	0	1	0
127	0.0	0	0	0
128	0.8505747126436781	0	0	0
129	1.0	0	1	0
130	0.6842105263157895	0	0	0
131	0.04411764705882353	0	0	0
132	0.0	0	0	0
133	0.8846153846153846	0	0	0
134	0.9230769230769231	0	0	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	0.9090909090909091	0	0	0
139	1.0	0	1	0
140	0.6666666666666666	0	0	0
141	1.0	0	1	0
142	0.21739130434782608	0	0	0
143	1.0	0	1	0
144	0.0	0	0	0
145	0.0	1	1	0
146	0.0	0	0	0
147	0.6666666666666666	0	0	0
148	1.0	0	1	0
149	0.0	0	0	0
