dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
qawiki,classification,deepseek-chat,0.98,0.8467,0.9,0.9333,0.56,0.9925,0.9582,0.6638,0.6377,0.0,0.0,0.0,0.0
qawiki,classification,deepseek-reasoner,0.7267,0.8533,0.9133,0.8933,0.4533,0.7919,0.902,0.55,0.5602,0.0,0.0,0.0,0.0
qawiki,classification,gemini-2.0-flash,0.8667,0.8867,1.0,0.9533,0.3533,0.9471,0.9502,0.6483,0.6061,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.5-flash,0.8933,0.9467,1.0,0.98,0.8267,0.9404,0.9787,0.5754,0.5794,0.0133,0.0133,1.0,0.0667
qawiki,classification,gemini-2.5-pro,0.9,0.72,1.0,0.8467,0.88,0.9486,0.8374,0.5939,0.499,0.0133,0.0067,1.0,0.06
qawiki,classification,gpt-4.1-2025-04-14,0.9067,0.8267,0.9333,0.9333,0.8133,0.9786,0.963,0.671,0.653,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.8733,0.7933,0.9067,0.9533,0.6933,0.9633,0.9627,0.6471,0.6269,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.8,0.8933,0.78,0.92,0.0867,0.8167,0.9222,0.8371,0.8743,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4o,0.98,0.94,1.0,0.9933,0.2867,0.2828,0.9686,0.1983,0.1767,0.7067,0.7133,1.0,0.0133
qawiki,classification,gpt-5,0.9189,0.9257,1.0,0.973,0.5135,0.9645,0.9639,0.7295,0.7322,0.0,0.0,1.0,0.0203
qawiki,classification,gpt-5-mini,0.86,0.66,1.0,0.78,0.6267,0.9295,0.7907,0.6695,0.6549,0.0,0.0,1.0,0.0067
qawiki,classification,gpt-5-nano,0.7867,0.7067,1.0,0.7733,0.16,0.7893,0.7687,0.08,0.5467,0.0,0.0,1.0,0.0
qawiki,classification,grok-3-mini,0.8867,0.7667,1.0,0.8867,0.8,0.966,0.9123,0.5385,0.5576,0.0,0.0,1.0,0.0
qawiki,classification,llama3.1:8b,0.1133,0.1,1.0,0.3533,0.68,0.4828,0.4791,0.2243,0.1549,0.0,0.0,1.0,0.0
qawiki,classification,o3,0.7667,0.72,1.0,0.8533,0.9,0.9033,0.8837,0.4783,0.541,0.0,0.0,1.0,0.0333
qawiki,fixing,deepseek-chat,0.7933,0.7133,0.8867,0.94,0.9467,0.8925,0.8845,0.5727,0.5964,0.0333,0.0267,0.1067,0.1733
qawiki,fixing,deepseek-reasoner,0.5867,0.52,0.68,0.8133,0.9067,0.7372,0.7351,0.3148,0.2896,0.02,0.02,0.06,0.0667
qawiki,fixing,gemini-2.0-flash,0.7533,0.6467,0.8067,0.8867,0.9467,0.803,0.8483,0.8361,0.8383,0.0133,0.0,0.0,0.0733
qawiki,fixing,gemini-2.5-flash,0.86,0.8867,0.8867,0.9667,0.9267,0.8998,0.9033,0.7605,0.7503,0.06,0.0133,0.04,0.1133
qawiki,fixing,gemini-2.5-pro,0.76,0.5933,0.74,0.8667,0.98,0.8519,0.757,0.6166,0.623,0.04,0.0267,0.0467,0.12
qawiki,fixing,gpt-4.1-2025-04-14,0.76,0.7467,0.8667,0.9533,0.8933,0.9013,0.9098,0.7944,0.789,0.0067,0.0067,0.02,0.0667
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.7267,0.68,0.8333,0.98,0.8867,0.869,0.8699,0.729,0.7245,0.0133,0.0267,0.04,0.06
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.4733,0.1733,0.56,0.4267,0.6267,0.5857,0.3823,0.6356,0.6437,0.02,0.0733,0.1067,0.04
qawiki,fixing,gpt-4o,0.8389,0.7919,0.9195,0.9329,0.9195,0.5966,0.5783,0.3555,0.3689,0.3356,0.3557,0.4027,0.3691
qawiki,fixing,gpt-5,0.9194,0.871,0.9516,0.9839,0.629,0.9568,0.9102,0.8342,0.8383,0.0,0.0161,0.0403,0.1452
qawiki,fixing,gpt-5-mini,0.875,0.8359,0.9453,0.9766,0.7188,0.8889,0.9218,0.8072,0.8386,0.0078,0.0,0.0234,0.2969
qawiki,fixing,gpt-5-nano,0.7533,0.7067,0.8067,0.96,0.7267,0.8314,0.8437,0.7281,0.7279,0.0133,0.0067,0.0333,0.2133
qawiki,fixing,grok-3-mini,0.8533,0.8,0.92,0.9867,0.9333,0.9231,0.934,0.5878,0.5636,0.0133,0.0067,0.06,0.18
qawiki,fixing,llama3.1:8b,0.0933,0.02,0.1467,0.12,0.66,0.427,0.2836,0.126,0.1202,0.0,0.0,0.0,0.0
qawiki,fixing,o3,0.7067,0.7333,0.8533,0.9,0.9667,0.6446,0.7051,0.4113,0.4086,0.28,0.2467,0.1733,0.2267
qawiki,wikidata,deepseek-chat,0.28,0.22,0.5867,0.52,0.64,0.3778,0.3321,,,0.1667,0.1733,0.3467,0.3133
qawiki,wikidata,gemini-2.0-flash,0.1933,0.1133,0.4133,0.4,0.6133,0.4295,0.3369,,,0.0533,0.08,0.1467,0.1467
qawiki,wikidata,gemini-2.5-flash,0.3,0.1667,0.5733,0.4867,0.88,0.36,0.3279,,,0.24,0.28,0.2933,0.28
qawiki,wikidata,gemini-2.5-pro,0.22,0.18,0.4133,0.34,0.7667,0.5128,0.4924,,,0.02,0.02,0.0667,0.0533
qawiki,wikidata,gpt-4.1-2025-04-14,0.2667,0.1267,0.3933,0.3467,0.6133,0.6657,0.5248,,,0.0,0.0,0.02,0.0067
qawiki,wikidata,gpt-4.1-mini-2025-04-14,0.22,0.06,0.2733,0.2933,0.86,0.3749,0.2322,,,0.0333,0.0133,0.0667,0.1133
qawiki,wikidata,gpt-4.1-nano-2025-04-14,0.2933,0.06,0.3333,0.4467,0.8933,0.5264,0.402,,,0.0067,0.0,0.2467,0.02
qawiki,wikidata,gpt-4o,0.92,0.7933,0.8333,0.8733,0.16,0.92,0.8317,,,0.0,0.0,0.0,0.0
qawiki,wikidata,gpt-5,0.8188,0.6376,0.7852,0.7651,0.5034,0.89,0.7811,,,0.0,0.0,0.0201,0.0201
qawiki,wikidata,gpt-5-mini,0.8389,0.6913,0.7987,0.8054,0.3758,0.8854,0.8177,,,0.0,0.0,0.0134,0.0067
qawiki,wikidata,gpt-5-nano,0.7667,0.5933,0.7333,0.7933,0.4867,0.8253,0.7422,,,0.0067,0.0067,0.0067,0.0067
qawiki,wikidata,grok-3-mini,0.2733,0.2,0.4933,0.4133,0.8933,0.4787,0.4617,,,0.0267,0.0333,0.06,0.0867
qawiki,wikidata,llama3.1:8b,0.0267,0.0,0.0933,0.06,0.7867,0.1863,0.1421,,,0.0,0.0,0.0067,0.0067
qawiki,wikidata,o3,0.36,0.22,0.5267,0.3467,0.86,0.605,0.5267,,,0.0067,0.0067,0.06,0.0067
qawiki,zero-shot,deepseek-chat,0.2067,0.14,0.4133,0.36,0.6133,0.4224,0.3716,,,0.0067,0.04,0.14,0.0867
qawiki,zero-shot,deepseek-reasoner,0.12,0.0733,0.28,0.2,0.8267,0.3115,0.2839,,,0.0267,0.0467,0.0467,0.06
qawiki,zero-shot,gemini-2.0-flash,0.2467,0.1267,0.3533,0.3867,0.6533,0.4938,0.4025,,,0.0067,0.0133,0.0067,0.02
qawiki,zero-shot,gemini-2.5-flash,0.26,0.22,0.4533,0.3533,0.8467,0.5143,0.4571,,,0.06,0.06,0.0867,0.0933
qawiki,zero-shot,gemini-2.5-pro,0.2333,0.1467,0.3133,0.2933,0.78,0.5595,0.4862,,,0.0267,0.02,0.04,0.0533
