dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
qawiki,classification,gpt-4.1-2025-04-14,0.3333,0.3667,0.9333,0.4067,0.7267,0.6635,0.7246,0.6491,0.671,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.36,0.3267,0.9067,0.4333,0.6333,0.6392,0.7145,0.6215,0.6471,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.6933,0.66,0.78,0.8067,0.2867,0.7484,0.754,0.7908,0.8371,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4o,0.68,0.74,0.9267,0.9,0.9933,0.1511,0.166,0.1681,0.0,0.6667,0.6533,0.7533,0.7667
qawiki,classification,o3,0.1757,0.2365,0.4595,0.3986,0.9865,0.3677,0.4148,0.4197,0.0,0.1419,0.1419,0.1622,0.1554
qawiki,fixing,gpt-4.1-2025-04-14,0.46,0.4533,0.8667,0.6,0.74,0.7561,0.7967,0.7863,0.7944,0.0067,0.0067,0.02,0.0667
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.3333,0.3467,0.8333,0.5467,0.76,0.675,0.714,0.721,0.729,0.0133,0.0267,0.04,0.06
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.3267,0.12,0.56,0.2867,0.72,0.4706,0.3589,0.6641,0.6356,0.02,0.0733,0.1067,0.04
qawiki,fixing,gpt-4o,0.4746,0.4915,0.9068,0.6441,0.9322,0.2544,0.3398,0.2638,0.2531,0.4322,0.4407,0.4661,0.4068
qawiki,fixing,o3,0.4159,0.3894,0.8761,0.5133,0.9381,0.3983,0.5018,0.4001,0.3849,0.2478,0.292,0.2124,0.2566
