dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
qawiki,classification,gpt-4.1-2025-04-14,0.9067,0.8267,0.9333,0.9333,0.8133,0.9786,0.963,0.671,0.653,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.8733,0.7933,0.9067,0.9533,0.6933,0.9633,0.9627,0.6471,0.6269,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.8,0.8933,0.78,0.92,0.0867,0.8167,0.9222,0.8371,0.8743,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4o,0.98,0.9467,1.0,0.9933,0.9933,0.2828,0.223,0.1983,0.1572,0.7067,0.7133,1.0,0.7667
qawiki,classification,o3,1.0,0.7181,1.0,0.8389,0.9866,0.0,0.7575,0.0,0.0,1.0,1.0,1.0,0.1544
qawiki,fixing,gpt-4.1-2025-04-14,0.76,0.7467,0.8667,0.9533,0.8933,0.9013,0.9098,0.7944,0.789,0.0067,0.0067,0.02,0.0667
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.7267,0.68,0.8333,0.98,0.8867,0.869,0.8699,0.729,0.7245,0.0133,0.0267,0.04,0.06
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.4733,0.1733,0.56,0.4267,0.6267,0.5857,0.3823,0.6356,0.6437,0.02,0.0733,0.1067,0.04
qawiki,fixing,gpt-4o,0.832,0.8,0.92,0.928,0.952,0.534,0.523,0.2671,0.2752,0.4,0.424,0.48,0.416
qawiki,fixing,o3,0.736,0.712,0.864,0.88,0.992,0.6118,0.6649,0.3757,0.3922,0.328,0.288,0.208,0.248
qawiki,wikidata,gpt-4.1-2025-04-14,0.2667,0.1267,0.3933,0.3467,0.6133,0.6657,0.5248,,,0.0,0.0,0.02,0.0067
qawiki,wikidata,gpt-4.1-mini-2025-04-14,0.2467,0.1267,0.4467,0.3533,0.5133,0.5744,0.4678,,,0.0067,0.0133,0.0667,0.0267
qawiki,wikidata,gpt-4.1-nano-2025-04-14,0.2933,0.2,0.5733,0.4467,0.4867,0.5264,0.5007,,,0.0067,0.0,0.0267,0.02
qawiki,wikidata,gpt-4o,0.9267,0.82,0.92,0.9467,1.0,0.0333,0.0111,,,0.9267,0.9267,0.9,0.9467
qawiki,wikidata,o3,0.4324,0.25,0.5608,0.4662,0.9392,0.4303,0.4128,,,0.2635,0.3108,0.2027,0.2432
qawiki,zero-shot,gpt-4.1-2025-04-14,0.28,0.0867,0.3867,0.3467,0.66,0.5694,0.4274,,,0.02,0.02,0.0733,0.0867
qawiki,zero-shot,gpt-4.1-mini-2025-04-14,0.26,0.1267,0.4667,0.3667,0.56,0.5936,0.4469,,,0.0133,0.0067,0.06,0.0467
qawiki,zero-shot,gpt-4.1-nano-2025-04-14,0.2533,0.14,0.5067,0.4467,0.7133,0.4296,0.3562,,,0.08,0.1067,0.2067,0.1667
qawiki,zero-shot,gpt-4o,0.4267,0.3267,0.58,0.68,0.8933,0.3399,0.2651,,,0.3067,0.3067,0.38,0.5067
qawiki,zero-shot,o3,0.3289,0.1946,0.557,0.3893,0.8859,0.4289,0.3631,,,0.2416,0.2416,0.255,0.1946
spinach,classification,gpt-4.1-2025-04-14,0.9485,0.8969,0.9485,0.9691,0.9794,0.9249,0.911,0.7187,0.6813,0.0515,0.0515,0.0515,0.1443
spinach,classification,gpt-4.1-mini-2025-04-14,0.94,0.8533,0.9667,0.9733,0.9733,0.8755,0.744,0.5971,0.5564,0.1067,0.1067,0.14,0.2867
spinach,classification,gpt-4.1-nano-2025-04-14,0.8333,0.9067,0.84,0.9133,0.9333,0.0155,0.0494,0.0087,0.0,0.98,0.82,0.74,0.8733
spinach,classification,gpt-4o,0.98,0.9533,0.9733,0.98,1.0,0.4551,0.3805,0.3163,0.2972,0.54,0.54,0.56,0.6267
spinach,classification,o3,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.6348,0.4524,0.25,0.25,0.0,0.25
spinach,fixing,gpt-4.1-2025-04-14,0.9067,0.76,0.9467,0.9267,1.0,0.9275,0.9078,0.8455,0.8494,0.0333,0.0333,0.0733,0.1133
spinach,fixing,gpt-4.1-mini-2025-04-14,0.8533,0.7533,0.8867,0.98,0.9667,0.9138,0.8935,0.7759,0.7902,0.0267,0.02,0.04,0.1267
spinach,fixing,gpt-4.1-nano-2025-04-14,0.76,0.44,0.6467,0.7067,0.6133,0.6881,0.4969,0.3253,0.3042,0.2,0.1667,0.14,0.1867
spinach,fixing,gpt-4o,0.969,0.7907,0.9225,0.969,0.9535,0.6829,0.6917,0.552,0.5355,0.3101,0.3101,0.2558,0.3256
spinach,fixing,o3,0.8031,0.748,0.9449,0.9055,0.9764,0.8233,0.852,0.5319,0.5464,0.126,0.0866,0.0709,0.126
spinach,wikidata,gpt-4.1-2025-04-14,0.5,0.2133,0.5667,0.44,0.6467,0.798,0.62,,,0.0,0.0,0.04,0.0933
spinach,wikidata,gpt-4.1-mini-2025-04-14,0.44,0.1533,0.4867,0.4267,0.4867,0.7297,0.567,,,0.0,0.0,0.0067,0.0467
spinach,wikidata,gpt-4.1-nano-2025-04-14,0.3333,0.16,0.5733,0.52,0.5467,0.6103,0.4769,,,0.0267,0.0467,0.06,0.1333
spinach,wikidata,gpt-4o,0.8533,0.78,0.9267,0.98,0.9867,0.1175,0.0622,,,0.8067,0.8,0.88,0.9267
spinach,wikidata,o3,0.4497,0.3221,0.5839,0.5772,0.9463,0.6681,0.607,,,0.1007,0.094,0.0604,0.1409
spinach,zero-shot,gpt-4.1-2025-04-14,0.4733,0.2133,0.5467,0.4667,0.66,0.7438,0.5839,,,0.0067,0.0133,0.04,0.1067
spinach,zero-shot,gpt-4.1-mini-2025-04-14,0.449,0.2041,0.5714,0.4082,0.483,0.7396,0.5816,,,0.0068,0.0136,0.034,0.0612
spinach,zero-shot,gpt-4.1-nano-2025-04-14,0.3467,0.16,0.6067,0.5133,0.6467,0.6025,0.4385,,,0.04,0.0333,0.1067,0.14
spinach,zero-shot,gpt-4o,0.5733,0.2933,0.6533,0.7533,0.8933,0.5382,0.4023,,,0.2667,0.2467,0.3067,0.4933
spinach,zero-shot,o3,0.4564,0.3691,0.651,0.5839,0.9195,0.6811,0.6287,,,0.0872,0.1141,0.094,0.1208
synthetic,classification,gpt-4.1-2025-04-14,0.9,0.8533,0.9667,0.9267,0.94,0.9724,0.9629,0.847,0.8308,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-mini-2025-04-14,0.8533,0.84,0.92,0.9467,0.88,0.9204,0.9586,0.7371,0.7085,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-nano-2025-04-14,0.64,0.7333,0.6733,0.8467,0.2533,0.6905,0.8187,0.6603,0.6887,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4o,0.9463,0.8926,1.0,0.9732,0.9866,0.6197,0.4874,0.4578,0.3725,0.3557,0.3557,1.0,0.4966
synthetic,classification,o3,1.0,0.8955,1.0,1.0,1.0,0.0,0.9826,0.0,0.0,1.0,1.0,1.0,0.0
synthetic,fixing,gpt-4.1-2025-04-14,0.8867,0.8667,0.9533,0.9667,0.9733,0.9662,0.9711,0.9175,0.9131,0.0,0.0,0.0133,0.0733
synthetic,fixing,gpt-4.1-mini-2025-04-14,0.8067,0.8,0.9133,0.9667,0.86,0.9151,0.9315,0.8616,0.8986,0.0133,0.0133,0.02,0.0333
synthetic,fixing,gpt-4.1-nano-2025-04-14,0.5533,0.3733,0.6133,0.7,0.5733,0.6813,0.6589,0.6822,0.7098,0.0067,0.02,0.0667,0.0267
synthetic,fixing,gpt-4o,0.8,0.7538,0.9538,0.9538,0.9692,0.7092,0.7501,0.5651,0.577,0.2,0.2077,0.2538,0.2077
synthetic,fixing,o3,0.7857,0.8889,0.9683,0.9683,1.0,0.9097,0.9181,0.6923,0.6626,0.0476,0.0397,0.0556,0.0556
synthetic,wikidata,gpt-4.1-2025-04-14,0.62,0.2933,0.6867,0.5733,0.6267,0.8506,0.6977,,,0.0,0.0,0.0267,0.04
synthetic,wikidata,gpt-4.1-mini-2025-04-14,0.5,0.1733,0.6067,0.5267,0.5267,0.7741,0.6351,,,0.0,0.0067,0.02,0.0267
synthetic,wikidata,gpt-4.1-nano-2025-04-14,0.36,0.12,0.5867,0.5067,0.64,0.6337,0.4537,,,0.0267,0.0667,0.14,0.1
synthetic,wikidata,gpt-4o,0.8467,0.6733,0.8067,0.9067,0.9733,0.0734,0.0602,,,0.84,0.8267,0.76,0.8333
synthetic,wikidata,o3,0.5436,0.349,0.6577,0.5436,0.8591,0.7543,0.7025,,,0.0671,0.0671,0.0268,0.0403
synthetic,zero-shot,gpt-4.1-2025-04-14,0.6,0.28,0.7067,0.5467,0.6133,0.8377,0.7025,,,0.0,0.0,0.0267,0.04
synthetic,zero-shot,gpt-4.1-mini-2025-04-14,0.4667,0.18,0.5533,0.5333,0.52,0.75,0.6301,,,0.0,0.0,0.0,0.04
synthetic,zero-shot,gpt-4.1-nano-2025-04-14,0.3733,0.1533,0.5867,0.5133,0.6333,0.6352,0.5056,,,0.02,0.0333,0.12,0.1
synthetic,zero-shot,gpt-4o,0.4027,0.1611,0.5906,0.4966,0.8121,0.5964,0.4865,,,0.1275,0.1074,0.1208,0.1879
synthetic,zero-shot,o3,0.3758,0.2685,0.5369,0.4564,0.8725,0.6539,0.5983,,,0.0336,0.0336,0.0201,0.047
