question	sparql
Give me all cosmonauts.	
Give me the birthdays of all actors of the television show Charmed.	
Who is the daughter of Robert Kennedy married to?	
Which river does the Brooklyn Bridge cross?	
How many countries are there in Europe?	
Does the Isar flow into a lake?	
Are tree frogs a type of amphibian?	
Who created Goofy?	
Give me the capitals of all countries in Africa.	
Which museum exhibits The Scream by Munch?	
Is Egypts largest city also its capital?	
How many people live in the capital of Australia?	
In which country is the Limerick Lake?	
Which television shows were created by John Cleese?	
Which mountain is the highest after the Annapurna?	
In which films directed by Garry Marshall was Julia Roberts starring?	
Was U.S. president Jackson involved in a war?	
Give me all communist countries.	
Which awards did Douglas Hofstadter win?	
What is the currency of the Czech Republic?	
Which countries adopted the Euro?	
What is the area code of Berlin?	
Which countries have more than two official languages?	
Who is the owner of Rolls-Royce?	
Through which countries does the Yenisei river flow?	
When did Latvia join the EU?	
Which politicians were married to a German?	
When was the Battle of Gettysburg?	
What is the highest mountain in Australia?	
Give me all soccer clubs in Spain.	
What is the official language of Suriname?	
Who is the mayor of Tel Aviv?	
Which telecommunications organizations are located in Belgium?	
Is Frank Herbert still alive?	
What is the highest place of the Urals?	
Who wrote the lyrics for the Polish national anthem?	
Give me all federal chancellors of Germany.	
What is the official website of Tom Cruise?	
Is there a video game called Battle Chess?	
Give me the websites of companies with more than 500000 employees.	
Which actors were born in Germany?	
Which instruments does Cat Stevens play?	
When did the Ming dynasty dissolve?	
Is Lake Baikal bigger than the Great Bear Lake?	
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?	
After whom is the Riemannian geometry named?	
Which animal participated in a military operation with the Australian Defence Force?	
among the characters in the witcher, who has two unmarried partners, Yennefer of Vengerberg and Triss Merigold?	
among the founders of tencent company, who has been member of national people’s congress?	
among the other representative work of the author of hunter x hunter, which one is talking about middle school student?	
On which stock exchanges are Siemens AG shares traded?	
Apart from the book series the witcher, name all of the author’s notable work.	
are brooke raboutou and colin duffy from same state of the usa?	
What is the boiling point of water?	
At which school was Yayoi Kusama educated at?	
Which High School did Allen Ginsberg attend?	
On which island is the Indonesian capital located?	
can i play don't starve on play station 4?	
How many General Secretaries of the CPSU were there before Leonid Brezhnev?	
How many different presidents of Russia have there been that took the position after 1990?	
Did adam ondra win a medal in the 2020 summer olympics?	
