i,j,val
1,1,1.0
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,1.0
1,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
1,16,1.0
1,17,1.0
1,18,1.0
2,1,0.0
2,2,1.0
2,3,1.0
2,4,0.0
2,5,0.002
2,6,0.0
2,7,0.0475
2,8,1.0
2,9,0.8795
2,10,1.0
2,11,0.8455
2,12,1.0
2,13,1.0
2,14,0.0122
2,15,1.0
2,16,1.0
2,17,1.0
2,18,1.0
3,1,0.0
3,2,0.0
3,3,1.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.9209
3,9,0.0
3,10,0.9726
3,11,0.0
3,12,0.8638
3,13,1.0
3,14,0.0
3,15,0.0675
3,16,1.0
3,17,0.2146
3,18,1.0
4,1,0.0
4,2,1.0
4,3,1.0
4,4,1.0
4,5,0.8702
4,6,0.0
4,7,0.9909
4,8,1.0
4,9,1.0
4,10,1.0
4,11,1.0
4,12,1.0
4,13,1.0
4,14,0.9667
4,15,1.0
4,16,1.0
4,17,1.0
4,18,1.0
5,1,0.0
5,2,0.9985
5,3,1.0
5,4,0.1499
5,5,1.0
5,6,0.0
5,7,0.9031
5,8,1.0
5,9,1.0
5,10,1.0
5,11,1.0
5,12,1.0
5,13,1.0
5,14,0.7755
5,15,1.0
5,16,1.0
5,17,1.0
5,18,1.0
6,1,0.0
6,2,1.0
6,3,1.0
6,4,1.0
6,5,1.0
6,6,1.0
6,7,1.0
6,8,1.0
6,9,1.0
6,10,1.0
6,11,1.0
6,12,1.0
6,13,1.0
6,14,1.0
6,15,1.0
6,16,1.0
6,17,1.0
6,18,1.0
7,1,0.0
7,2,0.9604
7,3,1.0
7,4,0.0115
7,5,0.1131
7,6,0.0
7,7,1.0
7,8,1.0
7,9,0.9986
7,10,1.0
7,11,0.9974
7,12,1.0
7,13,1.0
7,14,0.3138
7,15,1.0
7,16,1.0
7,17,1.0
7,18,1.0
8,1,0.0
8,2,0.0
8,3,0.0897
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,1.0
8,9,0.0
8,10,0.7141
8,11,0.0
8,12,0.4076
8,13,1.0
8,14,0.0
8,15,0.0021
8,16,1.0
8,17,0.0163
8,18,1.0
9,1,0.0
9,2,0.1375
9,3,1.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0019
9,8,1.0
9,9,1.0
9,10,1.0
9,11,0.4509
9,12,1.0
9,13,1.0
9,14,0.0005
9,15,1.0
9,16,1.0
9,17,1.0
9,18,1.0
10,1,0.0
10,2,0.0
10,3,0.032
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.3089
10,9,0.0
10,10,1.0
10,11,0.0
10,12,0.2086
10,13,1.0
10,14,0.0
10,15,0.0003
10,16,1.0
10,17,0.0027
10,18,1.0
11,1,0.0
11,2,0.1747
11,3,1.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0034
11,8,1.0
11,9,0.5815
11,10,1.0
11,11,1.0
11,12,1.0
11,13,1.0
11,14,0.0007
11,15,1.0
11,16,1.0
11,17,1.0
11,18,1.0
12,1,0.0
12,2,0.0
12,3,0.1513
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.6182
12,9,0.0
12,10,0.811
12,11,0.0
12,12,1.0
12,13,1.0
12,14,0.0
12,15,0.0036
12,16,1.0
12,17,0.0274
12,18,1.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,1.0
13,14,0.0
13,15,0.0
13,16,0.9989
13,17,0.0
13,18,0.2834
14,1,0.0
14,2,0.9903
14,3,1.0
14,4,0.0405
14,5,0.252
14,6,0.0
14,7,0.7168
14,8,1.0
14,9,0.9996
14,10,1.0
14,11,0.9995
14,12,1.0
14,13,1.0
14,14,1.0
14,15,1.0
14,16,1.0
14,17,1.0
14,18,1.0
15,1,0.0
15,2,0.0
15,3,0.9411
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.9983
15,9,0.0
15,10,0.9998
15,11,0.0
15,12,0.9971
15,13,1.0
15,14,0.0
15,15,1.0
15,16,1.0
15,17,0.7772
15,18,1.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
16,13,0.0013
16,14,0.0
16,15,0.0
16,16,1.0
16,17,0.0
16,18,0.0001
17,1,0.0
17,2,0.0
17,3,0.805
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.9863
17,9,0.0
17,10,0.9979
17,11,0.0
17,12,0.9768
17,13,1.0
17,14,0.0
17,15,0.2451
17,16,1.0
17,17,1.0
17,18,1.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,0.0
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
18,13,0.7367
18,14,0.0
18,15,0.0
18,16,0.9999
18,17,0.0
18,18,1.0
