i,j,val
1,1,1.0
1,2,0.1816
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.9997
1,11,0.0
1,12,0.9574
1,13,0.0
1,14,0.0046
1,15,0.0028
1,16,0.0
1,17,0.9787
1,18,0.0
2,1,0.8385
2,2,1.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,1.0
2,11,0.0
2,12,0.9961
2,13,0.0
2,14,0.0488
2,15,0.0324
2,16,0.0
2,17,0.9987
2,18,0.0
3,1,1.0
3,2,1.0
3,3,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,7,0.9999
3,8,1.0
3,9,1.0
3,10,1.0
3,11,0.9997
3,12,1.0
3,13,1.0
3,14,1.0
3,15,1.0
3,16,1.0
3,17,1.0
3,18,1.0
4,1,1.0
4,2,1.0
4,3,0.0
4,4,1.0
4,5,0.6952
4,6,1.0
4,7,0.0
4,8,0.5597
4,9,0.738
4,10,1.0
4,11,0.0
4,12,1.0
4,13,0.9993
4,14,1.0
4,15,1.0
4,16,0.0982
4,17,1.0
4,18,1.0
5,1,1.0
5,2,1.0
5,3,0.0
5,4,0.3261
5,5,1.0
5,6,1.0
5,7,0.0
5,8,0.3706
5,9,0.5631
5,10,1.0
5,11,0.0
5,12,1.0
5,13,0.9967
5,14,1.0
5,15,1.0
5,16,0.042
5,17,1.0
5,18,1.0
6,1,1.0
6,2,1.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,1.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,1.0
6,11,0.0
6,12,1.0
6,13,0.0014
6,14,1.0
6,15,1.0
6,16,0.0
6,17,1.0
6,18,0.9564
7,1,1.0
7,2,1.0
7,3,0.0001
7,4,1.0
7,5,1.0
7,6,1.0
7,7,1.0
7,8,1.0
7,9,1.0
7,10,1.0
7,11,0.3718
7,12,1.0
7,13,1.0
7,14,1.0
7,15,1.0
7,16,0.9999
7,17,1.0
7,18,1.0
8,1,1.0
8,2,1.0
8,3,0.0
8,4,0.4641
8,5,0.6518
8,6,1.0
8,7,0.0
8,8,1.0
8,9,0.6984
8,10,1.0
8,11,0.0
8,12,1.0
8,13,0.9992
8,14,1.0
8,15,1.0
8,16,0.0748
8,17,1.0
8,18,1.0
9,1,1.0
9,2,1.0
9,3,0.0
9,4,0.2821
9,5,0.462
9,6,1.0
9,7,0.0
9,8,0.3233
9,9,1.0
9,10,1.0
9,11,0.0
9,12,1.0
9,13,0.9957
9,14,1.0
9,15,1.0
9,16,0.029
9,17,1.0
9,18,1.0
10,1,0.0004
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,1.0
10,11,0.0
10,12,0.042
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0828
10,18,0.0
11,1,1.0
11,2,1.0
11,3,0.0004
11,4,1.0
11,5,1.0
11,6,1.0
11,7,0.6505
11,8,1.0
11,9,1.0
11,10,1.0
11,11,1.0
11,12,1.0
11,13,1.0
11,14,1.0
11,15,1.0
11,16,1.0
11,17,1.0
11,18,1.0
12,1,0.0508
12,2,0.005
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.9653
12,11,0.0
12,12,1.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.6529
12,18,0.0
13,1,1.0
13,2,1.0
13,3,0.0
13,4,0.0008
13,5,0.004
13,6,0.9989
13,7,0.0
13,8,0.001
13,9,0.0052
13,10,1.0
13,11,0.0
13,12,1.0
13,13,1.0
13,14,1.0
13,15,1.0
13,16,0.0
13,17,1.0
13,18,1.0
14,1,0.9964
14,2,0.9585
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,1.0
14,11,0.0
14,12,1.0
14,13,0.0
14,14,1.0
14,15,0.4538
14,16,0.0
14,17,1.0
14,18,0.0
15,1,0.9978
15,2,0.9729
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,1.0
15,11,0.0
15,12,1.0
15,13,0.0
15,14,0.5767
15,15,1.0
15,16,0.0
15,17,1.0
15,18,0.0
16,1,1.0
16,2,1.0
16,3,0.0
16,4,0.9118
16,5,0.963
16,6,1.0
16,7,0.0002
16,8,0.9335
16,9,0.9748
16,10,1.0
16,11,0.0
16,12,1.0
16,13,1.0
16,14,1.0
16,15,1.0
16,16,1.0
16,17,1.0
16,18,1.0
17,1,0.0258
17,2,0.0017
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.93
17,11,0.0
17,12,0.3799
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
17,17,1.0
17,18,0.0
18,1,1.0
18,2,1.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0499
18,7,0.0
18,8,0.0
18,9,0.0
18,10,1.0
18,11,0.0
18,12,1.0
18,13,0.0
18,14,1.0
18,15,1.0
18,16,0.0
18,17,1.0
18,18,1.0
