ql1	ql2
What are the names of the seven continents?	Can you list the world's seven continents?
Which colors are considered the primary colors?	What are the fundamental colors used in subtractive color mixing?
Name the four members of The Beatles.	Who were the musicians that made up the band The Beatles?
What are the names of the planets within our solar system?	Enumerate the planets that orbit the Sun in our solar system.
What were the four houses at Hogwarts?	Name the four student houses in the Harry Potter series.
Identify the five Great Lakes of North America.	What are the names of the five North American Great Lakes?
What are the five traditional senses attributed to humans?	Can you name the five classic human senses?
Which elements are classified as noble gases on the periodic table?	List the elements belonging to Group 18 of the periodic table.
What are the three branches of the United States federal government?	Identify the three distinct branches that constitute the U.S. federal government.
Name the members of the Fellowship of the Ring.	Who were the individuals that comprised the Fellowship of the Ring?
Name the nations that form the UK.	What are the constituent countries of the United Kingdom?
Name the rocky planets in our solar system.	Which planets in our solar system are considered terrestrial?
List the musicians that comprised Queen's classic lineup.	Who were the four main members of the band Queen?
Which chemical elements are in Group 18 of the periodic table?	What are the noble gases?
Name the suits found in a 52-card deck.	What are the four suits in a standard deck of playing cards?
Can you name the five interconnected freshwater seas in North America?	List the Great Lakes of North America.
Name the different houses students are sorted into at Hogwarts.	What are the four houses at Hogwarts?
List the primary human blood groups.	What are the four main blood types in the ABO system?
Name the nations that hold veto power in the UN Security Council.	Which countries are permanent members of the United Nations Security Council?
Which colors form the basis of the CMYK printing process?	What are the primary colors in the subtractive color model?
Identify the vessels in Columbus's 1492 fleet.	What were the names of Christopher Columbus's three ships on his first voyage?
List the English letters that are not consonants.	Which letters are the vowels in the English alphabet?
What are the four basic interactions described in physics?	Identify the fundamental forces of nature.
Name the principal deities of the Greek pantheon who resided on Mount Olympus.	Who are the twelve Olympian gods in Greek mythology?
Name the first three Star Wars movies that were released.	Which films make up the original Star Wars trilogy?
List the classic senses used by humans to perceive the world.	What are the five traditionally recognized human senses?
Name the continents that are crossed by the 0° longitude line.	Which continents does the Prime Meridian pass through?
List the three spirits required to make a traditional Negroni.	What are the base ingredients for a classic Negroni cocktail?
