Q1	Q2	Q3	Q4
Name the films for which Quentin Tarantino was the director.	Which movies were directed by Quentin Tarantino?	Name the films directed by Quentin Tarantino set during World War II.	Name the films directed by Quentin Tarantino not set during World War II.
Name the instruments Prince was known for playing.	What musical instruments did Prince play?	Which string instruments was Prince known for playing?	Which instruments was Prince known for playing excluding string instruments?
List the offspring of Queen Victoria.	Who were the children of Queen Victoria?	List the daughters of Queen Victoria.	List the sons of Queen Victoria.
Which languages hold official status in Switzerland?	What are the official languages of Switzerland?	Which Romance languages hold official status in Switzerland?	Which languages hold official status in Switzerland excluding those that are Romance languages?
List the moons that orbit the planet Jupiter.	What are the natural satellites of Jupiter?	List the Galilean moons that orbit the planet Jupiter.	List the moons that orbit the planet Jupiter excluding the Galilean moons.
List the elements belonging to the noble gas group.	What are the noble gases?	List the noble gases that are naturally occurring.	List the synthetic noble gases.
List the businesses owned by Amazon.	What companies are subsidiaries of Amazon?	List the healthcare businesses owned by Amazon.	List the businesses owned by Amazon excluding healthcare businesses.
List the programming languages created by Google.	What programming languages were developed by Google?	List the reflective programming languages created by Google.	List the non-reflective programming languages created by Google.
List the films directed by Stanley Kubrick.	What movies did Stanley Kubrick direct?	List the science fiction films directed by Stanley Kubrick.	List the films directed by Stanley Kubrick excluding the science fiction films.
Name the French writers who have been awarded the Nobel Prize in Literature.	Which authors from France have won the Nobel Prize in Literature?	Name the French writers who have been awarded the Nobel Prize in Literature for works in poetry.	Name the French writers who have been awarded the Nobel Prize in Literature excluding those awarded for works in poetry.
Name the host cities for past Summer Olympics.	Which cities have hosted the Summer Olympic Games in the past?	Name the host cities for the past Summer Olympics held in the 21st century.	Name the host cities for past Summer Olympics who never hosted them in the 21st century.
Can you list the various penguin species?	What are the different species of penguins?	Can you list the species of penguins found in Antarctica?	Can you list the species of penguins not found in Antarctica?
Name the American presidents who belonged to the Democratic Party.	Which US presidents were members of the Democratic Party?	Name the American presidents who belonged to the Democratic Party and served in the 20th century.	Name the American presidents who belonged to the Democratic Party but did not serve in the 20th century.
List the movies that received the Oscar for Best Picture.	Which films have won the Academy Award for Best Picture?	List the fully black-and-white movies that received the Oscar for Best Picture.	List the movies with color (in whole or part) that received the Oscar for Best Picture.
List the animated movies from Studio Ghibli.	What are the animated films produced by Studio Ghibli?	List the animated movies from Studio Ghibli that do not feature dragons.	List the animated movies from Studio Ghibli that feature dragons.
List the books authored by J.R.R. Tolkien.	What books did J.R.R. Tolkien write?	List the fantasy books authored by J.R.R. Tolkien.	List the books authored by J.R.R. Tolkien excluding fantasy works.
List the South American capitals.	What are the capital cities of South American countries?	List the South American capitals that are on the coast.	List the South American capitals that are not on the coast.
What automotive marques does the Volkswagen Group own?	Which car brands are part of the Volkswagen Group?	What luxury automotive marques does the Volkswagen Group own?	What automotive marques does the Volkswagen Group own excluding the luxury automotive marques?
Name the women married to Henry VIII.	Who were the wives of King Henry VIII?	List the women married to Henry VIII who bore him children.	List the women married to Henry VIII who did not bear him children.
