ql1	ql2	ql3
What are the terrestrial planets in our Solar System?	What are the planets in our Solar System?	What are the planets in our Solar System excluding the terrestrial planets?
What are the primary colors in the subtractive color model?	What are the primary colors in the additive color model?	What are the primary colors in the additive color model excluding those in the subtractive color model?
Which permanent members of the UN Security Council are in Europe?	What countries are permanent members of the UN Security Council?	Which permanent members of the UN Security Council are not in Europe?
Which of the fundamental forces of nature have an infinite range?	What are the four fundamental forces of nature?	Which of the four fundamental forces of nature have a finite range?
Which members of the Beatles were left-handed?	Who were the members of the Beatles?	Which members of the Beatles were right-handed?
Which oceans border the continent of North America?	What are the major oceans of the world?	Which major oceans of the world do not border the continent of North America?
Which noble gases are lighter than air?	What are the noble gases on the periodic table?	Which noble gases on the periodic table are not lighter than air?
What are Shakespeare's major tragedies?	What are the plays written by William Shakespeare?	What are the plays written by William Shakespeare excluding his major tragedies?
Which components of a modern desktop computer are considered primary storage?	What are the main components of a modern desktop computer?	Which components of a modern desktop computer are not considered primary storage?
What are the water signs of the Zodiac?	What are the twelve signs of the Zodiac?	What are the signs of the Zodiac excluding the water signs?
Which continents are crossed by the Equator?	What are the continents of the Earth?	Which continents are not crossed by the Equator?
"Which of the major Hollywood film studios are part of the ""Big Five""?"	What are some of the major film studios in Hollywood?	"Which major Hollywood film studios are not part of the ""Big Five""?"
Which instruments in a standard string quartet are typically played while seated?	What are the instruments in a standard string quartet?	Which instruments in a standard string quartet are typically played while standing?
Which G7 member countries are located in North America?	What are the G7 member countries?	Which G7 member countries are not located in North America?
Which of Switzerland's official languages are Romance languages?	What are the official languages of Switzerland?	Which of Switzerland's official languages are not Romance languages?
Which types of taste buds detect savory flavors?	What are the different types of taste buds on the human tongue?	What are the different types of taste buds on the human tongue excluding those that detect savory flavors?
Which books of the Pentateuch primarily contain laws and commandments?	What are the books of the Pentateuch in the Old Testament?	Which books of the Pentateuch do not primarily contain laws and commandments?
What states of matter are considered fluids?	What are the states of matter?	What states of matter are not considered fluids?
Which popular object-oriented programming languages are developed by Microsoft?	What are some popular object-oriented programming languages?	Which popular object-oriented programming languages are not developed by Microsoft?
Which of the twelve Olympian gods were children of Zeus and Hera?	Who are the twelve Olympian gods in Greek mythology?	Which of the twelve Olympian gods are not children of Zeus and Hera?
What are the terrestrial planets in our Solar System?	What are the planets in our Solar System?	What are the planets in our Solar System excluding the terrestrial planets?
What countries in the United Kingdom are not on the island of Great Britain?	What countries are in the United Kingdom?	What countries in the United Kingdom are on the island of Great Britain?
What are the studio albums released by Led Zeppelin in the 1970s?	What are the studio albums released by Led Zeppelin?	What are the studio albums released by Led Zeppelin excluding those released in the 1970s?
Which fundamental forces of physics are described by the Standard Model?	What are the fundamental forces of physics?	Which fundamental forces of physics are not described by the Standard Model?
Which teams in the NBA are in the Pacific Division?	Which teams compete in the National Basketball Association (NBA)?	Which teams compete in the National Basketball Association (NBA) excluding those in the Pacific Division?
Which of Switzerland's official languages are also official languages of the European Union?	What are the official languages of Switzerland?	What are the official languages of Switzerland that are not official languages of the European Union?
What are the historical plays commonly attributed to William Shakespeare?	What are the plays commonly attributed to William Shakespeare?	What are the plays commonly attributed to William Shakespeare excluding those that are historical plays?
Which oceans border the continent of North America?	What are the oceans of the world?	Which oceans do not border the continent of North America?
Which of the twelve Olympian gods were children of Zeus?	Who are the twelve Olympian gods of Greek mythology?	Which of the twelve Olympian gods are not children of Zeus?
Which primary colors in the RGB color model are used to create the color yellow?	What are the primary colors in the RGB color model?	Which primary colors in the RGB color model are not used to create the color yellow?
Which European countries have won the FIFA Men's World Cup?	Which countries have won the FIFA Men's World Cup?	Which countries that have won the FIFA Men's World Cup are not in Europe?
Which components of a eukaryotic cell are enclosed by a double membrane?	What are the main components of a eukaryotic cell?	Which main components of a eukaryotic cell are not enclosed by a double membrane?
Which films directed by Stanley Kubrick were released in color?	Which films were directed by Stanley Kubrick?	Which films directed by Stanley Kubrick were not released in color?
Which noble gases have an atomic number less than 50?	What are the noble gases on the periodic table?	Which noble gases have an atomic number of 50 or greater?
Which continents lie entirely in the Southern Hemisphere?	What are the continents of the Earth?	Which continents do not lie entirely in the Southern Hemisphere?
What are the Gospels in the New Testament?	What are the books of the New Testament?	What are the books of the New Testament excluding the Gospels?
Which chess pieces can move diagonally?	What are the pieces used in the game of chess?	Which chess pieces can move but not diagonally?
What are some major web browsers that use the Chromium engine?	What are some major web browsers?	What are some major web browsers that do not use the Chromium engine?
Which permanent member states of the UN Security Council are in Asia?	What are the permanent member states of the UN Security Council?	Which permanent member states of the UN Security Council are not in Asia?
What are the bones in the human forearm?	What are the bones in the human arm?	What are the bones in the human arm excluding those in the human forearm?
What are the water signs of the Zodiac?	What are the signs of the Zodiac?	What are the signs of the Zodiac excluding the water signs?
Which of the five French mother sauces are based on a white stock?	What are the five mother sauces of classical French cuisine?	Which of the five mother sauces of classical French cuisine are not based on a white stock?
Which American actors have portrayed Batman in live-action films?	Which actors have portrayed Batman in live-action films?	Which actors who have portrayed Batman in live-action films are not American?
Which of the Great Lakes of North America border the state of Michigan?	What are the Great Lakes of North America?	Which of the Great Lakes of North America do not border the state of Michigan?
What are some common object-oriented programming languages developed in the 1990s?	What are some common object-oriented programming languages?	What are some common object-oriented programming languages that were not developed in the 1990s?
Which of the Seven Wonders of the Ancient World were located in modern-day Egypt?	What are the Seven Wonders of the Ancient World?	Which of the Seven Wonders of the Ancient World were located outside modern-day Egypt?
Which of the four main islands of Japan are connected to Honshu by bridges or tunnels?	What are the four main islands of Japan?	Which of the four main islands of Japan are not connected to Honshu by bridges or tunnels?
Which vitamins are fat-soluble?	What are the main types of vitamins?	Which vitamins are water-soluble, excluding the fat-soluble vitamins?
Who were the founding members of the rock band Queen?	What are the members of the rock band Queen?	Who are the members of the rock band Queen excluding the founding members?
Which countries in Scandinavia are monarchies?	What are the countries in Scandinavia?	Which countries in Scandinavia are not monarchies?
