q1	q2	Q1	Q2	Q3	Q4	Type		0: fully containment
http://qawiki.org/entity/Q392		In which countries are tepuis found?	In which countries are tepuis located?	In which Spanish-speaking countries are tepuis found?	In which countries that are not Spanish-speaking are tepuis found?	0		1: semantic containment
http://qawiki.org/entity/Q620	http://qawiki.org/entity/Q621	In which countries is Elon Musk a citizen?	What citizenships does Elon Musk hold?	In which countries is Elon Musk a naturalized citizen?	In which countries is Elon Musk a citizen but not through naturalization?	0		2: too subjective or ambiguous
http://qawiki.org/entity/Q473	http://qawiki.org/entity/Q474	In which journals has Amrapali Zaveri published?	In what journals has Amrapali Zaveri published?	In which journals has Amrapali Zaveri published as first author?	In which journals has Amrapali Zaveri published but not as first author?	0		
http://qawiki.org/entity/Q102		In which movies did Al Pacino and Robert de Niro appear together?	In which films do Pacino and de Niro costar?	In which movies directed by Scorsese did Al Pacino and Robert de Niro appear together?	In which movies not directed by Scorsese did Al Pacino and Robert de Niro appear together?	0		
http://qawiki.org/entity/Q101		In which museums can I see paintings by El Greco?	Which museums display artworks by El Greco?	In which national museums can I see paintings by El Greco?	In which non-national museums can I see paintings by El Greco?	0		
http://qawiki.org/entity/Q197		Kim Deal played with which bands?	With which music groups did Kim Deal play?	Kim Deal played in which bands without Black Francis?	Kim Deal played with Black Francis in which bands?	0		
		List astronauts who completed degrees at MIT.	Which astronauts completed degrees with the Massachusetts Institute of Technology?	List astronauts who completed undergraduate degrees at MIT.	List astronauts who completed graduate degrees at MIT.	0		
		List the richest 10 persons in the world	Who are the ten richest people globally?	Who is the richest person in the world?	List the second to tenth richest persons in the world.	1		
		List the top 10 largest countries in Africa by area.	What are the ten most expansive African countries?	What is the largest country in Africa by area?	List the second to tenth largest countries in Africa by area.	0		
	http://qawiki.org/entity/Q17	List the top ten largest countries in Africa by population.	What are the ten most populous African countries?	What is the largest country in Africa by population?	List the second to tenth largest countries in Africa by population.	0		
http://qawiki.org/entity/Q590	http://qawiki.org/entity/Q589	Which countries are part of the G20?	Who is in the G20?	Which countries are part of the G20?	What members of the G20 are not countries?	1		
http://qawiki.org/entity/Q551	http://qawiki.org/entity/Q554	What are the official languages of the European Union?	What are the official languages of the EU?	Which official languages of the European Union are not Indo-European?	Which official languages of the European Union are Indo-European?	0		
http://qawiki.org/entity/Q342		What are the subsidiaries of Meta Platforms?	What subsidiaries does Meta have?	What subsidiaries of Meta Platforms contain "Facebook" in their name?	What subsidiaries of Meta Platforms do not contain "Facebook" in their name?	0		
		What are the ten tallest mountains in the world?	List the 10 highest mountains globally	Among the ten tallest mountains in the world, which ones span international borders?	Among the ten tallest mountains in the world, which ones are entirely contained in one country?	0		
http://qawiki.org/entity/Q618		What binary neutron stars are in the constellation Scorpius?	What binary neutron stars are found in Scorpius?	What binary neutron stars in the constellation Scorpius have exoplanets orbiting them?	What binary neutron stars in the constellation Scorpius do not have exoplanets orbiting them?	0		
http://qawiki.org/entity/Q111		What buildings are named after JFK?	What buildings are named after John F. Kennedy?	What educational buildings are named after JFK?	What buildings other than educational ones are named after JFK?	0		
http://qawiki.org/entity/Q136		What chocolate bars are made by Nestlé?	Which chocolate candy bars do Nestle manufacture?	What chocolate bars are made by Nestlé and contain nuts?	What chocolate bars are made by Nestlé and don't contain nuts?	0		
http://qawiki.org/entity/Q302		What cities are twinned with Port-au-Prince?	With which cities is Port-au-Prince twinned?	Which North American cities are twinned with Port-au-Prince?	Which cities outside North America are twinned with Port-au-Prince?	0		
