action,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
classification,deepseek-chat,600,495,0.175,0.9333,0.7939,0.8202,0.899,0.8121,0.6566,0.9663,0.9312,0.1678,0.7604
classification,deepseek-reasoner,600,547,0.0883,0.7642,0.7715,0.7422,0.841,0.7605,0.5649,0.807,0.8645,0.2321,0.6184
classification,gemini-2.0-flash,600,504,0.16,0.8671,0.8274,1.0,0.9405,0.748,0.625,0.9381,0.9275,0.1741,0.7298
classification,gemini-2.5-flash,600,572,0.0467,0.8951,0.9336,1.0,0.9703,0.9423,0.8864,0.9406,0.9655,0.0523,0.8785
classification,gemini-2.5-pro,600,578,0.0367,0.8495,0.7664,1.0,0.8841,0.9585,0.7388,0.8956,0.8658,0.0334,0.8202
classification,gpt-4.1-2025-04-14,600,575,0.0417,0.9148,0.8643,0.6922,0.9739,0.9078,0.7809,0.9744,0.9699,0.079,0.8852
classification,gpt-4.1-mini-2025-04-14,600,544,0.0933,0.8879,0.8529,0.6048,0.943,0.8474,0.7059,0.9529,0.9455,0.1415,0.795
classification,gpt-4.1-nano-2025-04-14,600,376,0.3733,0.9574,0.3112,0.5559,0.3138,0.609,0.0,0.9612,0.57,0.3855,0.0027
classification,gpt-4o,600,290,0.5167,0.9448,0.8793,0.9862,0.9724,0.7483,0.6345,0.8863,0.9681,0.2337,0.7223
classification,gpt-5,600,455,0.2417,0.9011,0.8769,1.0,0.9538,0.8945,0.7846,0.9577,0.9369,0.1037,0.8483
classification,gpt-5-mini,600,409,0.3183,0.824,0.5501,1.0,0.6406,0.9193,0.4988,0.8911,0.7127,0.0807,0.5863
classification,gpt-5-nano,600,599,0.0017,0.778,0.6912,1.0,0.7696,0.1937,0.005,0.7813,0.7621,0.8052,0.0783
classification,gpt-oss:20b,600,550,0.0833,0.6418,0.4545,1.0,0.7164,0.9073,0.4145,0.7752,0.7588,0.0425,0.6563
classification,grok-3-mini,600,548,0.0867,0.8996,0.7737,1.0,0.8942,0.9434,0.7318,0.9605,0.9321,0.0504,0.8597
classification,llama3.1:70b,600,599,0.0017,0.803,0.5743,1.0,0.8648,0.9349,0.5626,0.907,0.8625,0.0296,0.8133
classification,llama3.1:8b,600,600,0.0,0.1633,0.0833,1.0,0.3383,0.6817,0.05,0.5603,0.5018,0.0974,0.3899
classification,mistral-small:24b,600,585,0.025,0.841,0.5624,1.0,0.8103,0.8154,0.4342,0.9238,0.8142,0.1597,0.6535
classification,o3,600,572,0.0467,0.8112,0.8077,0.8776,0.9108,0.9633,0.7832,0.9291,0.9132,0.0287,0.8755
fixing,deepseek-chat,600,567,0.055,0.8131,0.739,0.8836,0.9471,0.9577,0.7143,0.9189,0.9203,0.0278,0.8374
fixing,deepseek-reasoner,600,593,0.0117,0.6813,0.6121,0.7572,0.8634,0.9342,0.5868,0.8234,0.8383,0.0492,0.8015
fixing,gemini-2.0-flash,600,598,0.0033,0.7893,0.7542,0.8411,0.9197,0.9682,0.7408,0.8227,0.9073,0.0136,0.8412
fixing,gemini-2.5-flash,600,581,0.0317,0.8898,0.8881,0.8985,0.9535,0.9862,0.883,0.9249,0.9163,0.0112,0.8622
fixing,gemini-2.5-pro,600,597,0.005,0.7722,0.7588,0.8007,0.9213,0.9816,0.7521,0.8204,0.8589,0.0174,0.813
fixing,gpt-4.1-2025-04-14,600,573,0.045,0.8202,0.7801,0.918,0.9424,0.9721,0.7679,0.9327,0.9371,0.0114,0.8724
fixing,gpt-4.1-mini-2025-04-14,600,574,0.0433,0.7753,0.7282,0.878,0.9634,0.9094,0.7021,0.9005,0.8899,0.0463,0.8174
fixing,gpt-4.1-nano-2025-04-14,600,573,0.045,0.5323,0.2845,0.5742,0.5899,0.6073,0.1937,0.6322,0.5054,0.2293,0.3535
fixing,gpt-4o,600,454,0.2433,0.8062,0.7489,0.8965,0.9339,0.9207,0.707,0.8382,0.8535,0.0607,0.7659
fixing,gpt-5,600,431,0.2817,0.877,0.8654,0.9188,0.9768,0.9745,0.8422,0.9597,0.9319,0.0255,0.9027
fixing,gpt-5-mini,600,368,0.3867,0.788,0.731,0.8723,0.9212,0.9266,0.6929,0.8593,0.8571,0.0708,0.813
fixing,gpt-5-nano,600,437,0.2717,0.7826,0.6911,0.7735,0.9611,0.9405,0.643,0.8624,0.8339,0.049,0.7705
fixing,gpt-oss:20b,300,283,0.0567,0.5654,0.6431,0.8021,0.9187,0.9753,0.636,0.758,0.8508,0.0174,0.816
fixing,grok-3-mini,600,563,0.0617,0.8739,0.8455,0.9254,0.984,0.9787,0.8295,0.941,0.9543,0.016,0.8383
fixing,llama3.1:70b,600,596,0.0067,0.6074,0.5268,0.7248,0.8205,0.9396,0.5101,0.7512,0.7952,0.0289,0.7669
fixing,llama3.1:8b,600,600,0.0,0.1267,0.0267,0.155,0.1233,0.6183,0.0183,0.4549,0.3316,0.1126,0.2414
fixing,mistral-small:24b,600,574,0.0433,0.7073,0.4983,0.7352,0.8955,0.9564,0.4808,0.8219,0.747,0.0155,0.7002
fixing,o3,600,551,0.0817,0.7132,0.7895,0.9147,0.9401,0.9873,0.7804,0.8622,0.9026,0.0102,0.8728
zero-shot,deepseek-chat,600,580,0.0333,0.3086,0.1414,0.4362,0.381,0.5621,0.0638,0.5693,0.4616,0.1546,0.2627
zero-shot,deepseek-reasoner,600,595,0.0083,0.1815,0.1294,0.3966,0.2975,0.8202,0.1042,0.4632,0.412,0.0383,0.3142
zero-shot,gemini-2.0-flash,600,600,0.0,0.3267,0.1217,0.415,0.3533,0.6267,0.05,0.6008,0.4605,0.13,0.2914
zero-shot,gemini-2.5-flash,600,594,0.01,0.33,0.2407,0.4899,0.4091,0.8485,0.2172,0.6112,0.5402,0.0313,0.4426
zero-shot,gemini-2.5-pro,600,597,0.005,0.3065,0.2194,0.4338,0.3853,0.8157,0.1926,0.6329,0.5677,0.031,0.4721
zero-shot,gpt-4.1-2025-04-14,600,597,0.005,0.3936,0.1608,0.4958,0.3836,0.6348,0.1005,0.6755,0.5412,0.1091,0.3582
zero-shot,gpt-4.1-mini-2025-04-14,600,592,0.0133,0.3294,0.1301,0.4747,0.3767,0.5659,0.0524,0.628,0.4966,0.1511,0.285
zero-shot,gpt-4.1-nano-2025-04-14,600,577,0.0383,0.2565,0.0867,0.4367,0.3501,0.636,0.0347,0.5056,0.3794,0.1679,0.2101
zero-shot,gpt-4o,600,506,0.1567,0.3518,0.1186,0.4486,0.3735,0.7431,0.0711,0.591,0.4547,0.1327,0.3078
zero-shot,gpt-5,600,483,0.195,0.5155,0.294,0.5549,0.5652,0.9068,0.2629,0.7328,0.6083,0.0386,0.5962
zero-shot,gpt-5-mini,600,412,0.3133,0.4951,0.2403,0.4733,0.5364,0.8859,0.199,0.6702,0.5232,0.0766,0.5352
zero-shot,gpt-5-nano,600,458,0.2367,0.4651,0.262,0.5284,0.5175,0.8799,0.2205,0.6413,0.5214,0.0879,0.5025
zero-shot,gpt-oss:20b,600,575,0.0417,0.1896,0.1235,0.3583,0.2974,0.8539,0.0991,0.4291,0.3823,0.0495,0.3037
zero-shot,grok-3-mini,600,583,0.0283,0.3293,0.2453,0.5129,0.4254,0.8919,0.2281,0.6326,0.5693,0.0389,0.4608
