action,dataset,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
classification,LC-QuAD,deepseek-chat,150,118,0.2133,0.8729,0.8136,1.0,0.9068,0.7288,0.6017,0.9285,0.913,0.2631,0.6954
classification,LC-QuAD,deepseek-reasoner,150,146,0.0267,0.6233,0.589,1.0,0.6918,0.8288,0.5,0.6585,0.7476,0.1503,0.5994
classification,LC-QuAD,gemini-2.0-flash,150,137,0.0867,0.9197,0.7883,1.0,0.9489,0.8978,0.7299,0.9595,0.9262,0.0411,0.8738
classification,LC-QuAD,gemini-2.5-flash,150,146,0.0267,0.9041,0.9452,1.0,0.9589,0.9384,0.911,0.9503,0.9567,0.0588,0.9019
classification,LC-QuAD,gemini-2.5-pro,150,144,0.04,0.9375,0.9028,1.0,0.9722,0.9861,0.9028,0.9737,0.9733,0.0139,0.9662
classification,LC-QuAD,gpt-4.1-2025-04-14,150,142,0.0533,0.9225,0.8732,1.0,0.9789,0.9507,0.831,0.9713,0.9737,0.043,0.9275
classification,LC-QuAD,gpt-4.1-mini-2025-04-14,150,133,0.1133,0.8647,0.8797,1.0,0.9549,0.8496,0.7293,0.9367,0.9572,0.1504,0.8108
classification,LC-QuAD,gpt-4.1-nano-2025-04-14,150,73,0.5133,0.9726,0.0274,1.0,0.0274,0.8767,0.0,0.9795,0.4132,0.1233,0.0
classification,LC-QuAD,gpt-4o,150,55,0.6333,0.9636,0.9273,1.0,0.9818,0.5273,0.4545,0.9636,0.985,0.4447,0.5145
classification,LC-QuAD,gpt-5,150,118,0.2133,0.9407,0.8559,1.0,0.9237,0.8729,0.7542,0.9734,0.9129,0.1271,0.8201
classification,LC-QuAD,gpt-5-mini,150,85,0.4333,0.8,0.5294,1.0,0.6235,0.9294,0.4706,0.8498,0.6882,0.0706,0.5665
