dataset,llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
LC-QuAD,deepseek-chat,150,143,0.0467,0.2657,0.1189,0.4056,0.2797,0.5105,0.028,0.5832,0.4747,0.1956,0.2831,150,118,0.2133,0.8729,0.8136,1.0,0.9068,0.7288,0.6017,0.9285,0.913,0.2631,0.6954,0.6072,0.6947,0.5944,0.6271,0.2183,0.5737,0.3453,0.4383,0.0675,0.4123
LC-QuAD,deepseek-reasoner,150,149,0.0067,0.1342,0.1007,0.3758,0.2617,0.8591,0.0738,0.4689,0.3895,0.0372,0.3028,150,146,0.0267,0.6233,0.589,1.0,0.6918,0.8288,0.5,0.6585,0.7476,0.1503,0.5994,0.4891,0.4883,0.6242,0.4301,-0.0303,0.4262,0.1896,0.3581,0.1131,0.2966
LC-QuAD,gemini-2.0-flash,150,150,0.0,0.24,0.08,0.3533,0.28,0.64,0.0333,0.522,0.392,0.1275,0.2705,150,137,0.0867,0.9197,0.7883,1.0,0.9489,0.8978,0.7299,0.9595,0.9262,0.0411,0.8738,0.6797,0.7083,0.6467,0.6689,0.2578,0.6966,0.4375,0.5342,-0.0864,0.6033
LC-QuAD,gemini-2.5-flash,150,149,0.0067,0.2685,0.1611,0.4631,0.2752,0.8523,0.1544,0.5506,0.4635,0.0326,0.3627,150,146,0.0267,0.9041,0.9452,1.0,0.9589,0.9384,0.911,0.9503,0.9567,0.0588,0.9019,0.6356,0.7841,0.5369,0.6837,0.0861,0.7566,0.3997,0.4932,0.0262,0.5392
LC-QuAD,gemini-2.5-pro,150,149,0.0067,0.2349,0.1678,0.4027,0.3356,0.8523,0.1409,0.5914,0.509,0.0314,0.4221,150,144,0.04,0.9375,0.9028,1.0,0.9722,0.9861,0.9028,0.9737,0.9733,0.0139,0.9662,0.7026,0.735,0.5973,0.6366,0.1338,0.7619,0.3823,0.4643,-0.0175,0.5441
LC-QuAD,gpt-4.1-2025-04-14,150,149,0.0067,0.2282,0.0805,0.3826,0.2416,0.6779,0.0537,0.5414,0.4392,0.0989,0.296,150,142,0.0533,0.9225,0.8732,1.0,0.9789,0.9507,0.831,0.9713,0.9737,0.043,0.9275,0.6943,0.7927,0.6174,0.7373,0.2728,0.7773,0.4299,0.5345,-0.0559,0.6315
LC-QuAD,gpt-4.1-mini-2025-04-14,150,144,0.04,0.1597,0.0347,0.3472,0.2153,0.6875,0.0139,0.4299,0.3307,0.0973,0.2098,150,133,0.1133,0.8647,0.8797,1.0,0.9549,0.8496,0.7293,0.9367,0.9572,0.1504,0.8108,0.705,0.845,0.6528,0.7396,0.1621,0.7154,0.5068,0.6265,0.0531,0.601
LC-QuAD,gpt-4.1-nano-2025-04-14,150,133,0.1133,0.0977,0.015,0.2782,0.188,0.7293,0.015,0.2897,0.1766,0.1211,0.1147,150,73,0.5133,0.9726,0.0274,1.0,0.0274,0.8767,0.0,0.9795,0.4132,0.1233,0.0,0.8749,0.0124,0.7218,-0.1606,0.1474,-0.015,0.6898,0.2366,0.0022,-0.1147
LC-QuAD,gpt-4o,150,113,0.2467,0.2566,0.0265,0.3717,0.292,0.708,0.0177,0.4968,0.3453,0.1775,0.2604,150,55,0.6333,0.9636,0.9273,1.0,0.9818,0.5273,0.4545,0.9636,0.985,0.4447,0.5145,0.707,0.9008,0.6283,0.6898,-0.1807,0.4368,0.4668,0.6397,0.2672,0.2541
LC-QuAD,gpt-5,150,125,0.1667,0.48,0.16,0.464,0.448,0.936,0.136,0.7103,0.5109,0.0445,0.5026,150,118,0.2133,0.9407,0.8559,1.0,0.9237,0.8729,0.7542,0.9734,0.9129,0.1271,0.8201,0.4607,0.6959,0.536,0.4757,-0.0631,0.6182,0.2631,0.402,0.0826,0.3175
