llm,?A1=A1*,J(A1-A1*),?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,ave_?A,J(A1-A2),J(A3-A4),J(A4-A1|3),idk
llama3.1:8b,0.0555555555555555,0.3235651111111111,0.1822,1.0,0.3622,0.6867,0.06,0.45822,0.5751,0.0958,0.4059,0.2511
gpt-oss:20b,0.2233766233766233,0.482092987012987,0.6262,1.0,0.723,0.9141,0.4314,0.7389399999999999,0.7732,0.0207,0.659,0.3627749999999999
gpt-4.1-nano-2025-04-14,0.0,0.0,0.1765,0.0514,0.0361,0.5464,0.0,0.16208,0.2297,0.4468,0.0033,0.787225
mistral-small:24b,0.3475,0.62494575,0.8308,1.0,0.8196,0.8338,0.4498,0.7868,0.9187,0.1398,0.6607,0.337225
llama3.1:70b,0.2184684684684684,0.519797972972973,0.809,1.0,0.8594,0.94,0.5469,0.8310600000000001,0.9088,0.021,0.8091,0.268875
gemini-2.0-flash,0.4189189189189189,0.6836740540540541,0.84,1.0,0.9351,0.8321,0.5662,0.83468,0.9295,0.051,0.6565,0.431675
gpt-4.1-mini-2025-04-14,0.291005291005291,0.5900841269841269,0.8871,0.478,0.9354,0.8593,0.6983,0.77162,0.9548,0.1258,0.7898,0.17445
gpt-4o,0.4285714285714285,0.70041,0.9336,0.9817,0.9696,0.92,0.6795,0.89688,0.9669,0.0615,0.7742,0.6272249999999999
gpt-4.1-2025-04-14,0.3014018691588785,0.6458266355140188,0.9112,0.5912,0.9721,0.9171,0.7644,0.8311999999999999,0.9751,0.0671,0.8714,0.081125
grok-3-mini,0.3771712158808933,0.6472789081885855,0.8837,1.0,0.8935,0.9786,0.724,0.89596,0.9567,0.015,0.8597,0.34555
deepseek-chat,0.4441260744985673,0.693836676217765,0.957,0.8959,0.9155,0.9093,0.7139,0.8783199999999999,0.9784,0.0649,0.8363,0.245
gemini-2.5-flash,0.3543689320388349,0.6758652912621359,0.8905,1.0,0.9741,0.9895,0.8776,0.94634,0.9411,0.0035,0.8725,0.328325
gpt-5-nano,0.0857843137254902,0.0929240196078431,0.7606,1.0,0.7644,0.1882,0.0044,0.5435200000000001,0.7652,0.8103,0.0776,0.302775
deepseek-reasoner,0.3102493074792243,0.5424542936288089,0.6839,0.9029,0.928,0.8593,0.639,0.8026200000000001,0.7578,0.1346,0.7068,0.264425
gemini-2.5-pro,0.3945409429280397,0.6911965260545906,0.816,1.0,0.8581,0.9814,0.6907,0.8692399999999999,0.8737,0.0062,0.779,0.34165
gpt-5-mini,0.4131944444444444,0.6545562500000001,0.8167,1.0,0.6406,0.9964,0.5125,0.79324,0.8941,0.0036,0.5927,0.521125
o3,0.3195121951219512,0.6243912195121951,0.8143,0.8333,0.908,0.9828,0.7864,0.86496,0.9312,0.0083,0.877,0.2439
gpt-5,0.4741641337386018,0.7383006079027356,0.8855,1.0,0.9642,0.993,0.8,0.9285399999999999,0.9515,0.0041,0.8633,0.473875
