Q_ID,dataset,llm,R(1-2),R(1-3),R(1-4),R(3-4),R(1-34)
0,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
1,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
2,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
3,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
4,spinach,grok-3-mini,Contains,Contains,Contains,Disjoint,Equivalence
5,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
6,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
7,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
8,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
9,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
10,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
11,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
12,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
13,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
14,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
15,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
16,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
17,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
18,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
19,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
20,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
21,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
22,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
23,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
24,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
25,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
26,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
27,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
28,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
29,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
30,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
31,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
32,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
33,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
34,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
35,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
36,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
37,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
38,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
39,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
40,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
41,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
42,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
43,spinach,grok-3-mini,ContainedBy,Contains,Contains,Disjoint,Equivalence
44,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
45,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
46,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
47,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Contains
48,spinach,grok-3-mini,ContainedBy,Overlap,Contains,Disjoint,Equivalence
49,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
50,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
51,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
52,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
53,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
54,spinach,grok-3-mini,Equivalence,Contains,Contains,Disjoint,Equivalence
