dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
LC-QuAD,chain-of-thought,deepseek-chat,0.8725,0.6376,0.7852,0.7517,0.7919,0.6309,,,,,,,,,0.8771,0.7485,0.704,,,,0.2015,0.1007,0.1007,0.1409,0.1544,0.0,0.0,,,0.1242,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,chain-of-thought,deepseek-reasoner,0.9133,0.7867,0.8667,0.84,0.8667,0.78,,,,,,,,,0.9195,0.8452,0.831,,,,0.1324,0.0533,0.06,0.0867,0.1067,0.0,0.0,,,0.0767,0.0,0.0,0.0,0.0,0.0216,0.0
LC-QuAD,chain-of-thought,gpt-4.1-2025-04-14,0.9128,0.8322,0.9195,0.8859,0.9195,0.8255,,,,,,,,,0.9385,0.8851,0.8777,,,,0.0744,0.0134,0.0201,0.0336,0.0537,0.0,0.0,,,0.0302,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,chain-of-thought,gpt-5,0.7987,0.6913,0.7584,0.745,0.7987,0.6846,,,,,,,,,0.8001,0.7589,0.7306,,,,0.1997,0.1611,0.1678,0.1611,0.1812,0.0,0.0,,,0.1678,0.0,0.0,0.0,0.0,0.0262,0.0
LC-QuAD,chain-of-thought,gpt-5-nano,0.4533,0.3267,0.4133,0.4267,0.48,0.3133,,,,,,,,,0.473,0.441,0.4104,,,,0.5157,0.4867,0.5,0.4933,0.5,0.0,0.0,,,0.495,0.0,0.0,0.0,0.0,0.9646,0.0
LC-QuAD,chain-of-thought,llama3.1:70b,0.6533,0.4533,0.6067,0.5933,0.7067,0.4333,,,,,,,,,0.7376,0.5875,0.5451,,,,0.2829,0.1,0.12,0.1933,0.18,0.0,0.0,,,0.1483,0.0,0.0,0.0,0.0,0.0019,0.0
LC-QuAD,chain-of-thought,llama3.1:8b,0.5743,0.2838,0.5473,0.4932,0.6554,0.2432,,,,,,,,,0.7056,0.4815,0.3979,,,,0.2969,0.0676,0.0878,0.1824,0.1622,0.0,0.0,,,0.125,0.0,0.0,0.0,0.0,0.0632,0.0
LC-QuAD,classification,deepseek-chat,0.68,0.4733,0.3667,0.5467,0.5267,0.4733,0.2467,0.2133,0.2333,0.94,0.64,,,0.5467,0.7237,0.5147,0.5108,0.4599,0.4185,0.4113,0.467,0.22,0.24,0.4467,0.4333,0.2667,0.36,0.2311,0.4299,0.335,0.0,0.0,0.0008,0.0,0.0883,0.0
LC-QuAD,classification,deepseek-reasoner,0.54,0.4667,0.32,0.54,0.6333,0.46,0.2067,0.1333,0.1533,0.7533,0.64,,,0.82,0.5742,0.523,0.5116,0.4251,0.3824,0.3897,0.3463,0.1933,0.1,0.2333,0.1733,0.2067,0.18,0.1644,0.3991,0.175,0.0,0.0,0.0435,0.0,0.8721,0.0
LC-QuAD,classification,gemini-2.0-flash,0.8467,0.7,0.4533,0.8267,0.7667,0.6467,0.24,0.2333,0.2333,0.92,0.5733,,,0.4933,0.8831,0.7856,0.7632,0.5374,0.4864,0.5122,0.1721,0.0867,0.08,0.1,0.1467,0.0867,0.08,0.2355,0.512,0.1034,0.0,0.0,0.0016,0.0,0.0001,0.0
LC-QuAD,classification,gemini-2.5-flash,0.88,0.8333,0.4533,0.88,0.8467,0.8267,0.2067,0.22,0.2267,0.92,0.6133,,,0.96,0.925,0.838,0.8312,0.5795,0.5518,0.5549,0.1506,0.0333,0.04,0.1133,0.1,0.0467,0.0467,0.2178,0.5621,0.0716,0.0,0.0,0.1856,0.0,0.0145,0.0
LC-QuAD,classification,gemini-2.5-pro,0.8933,0.8533,0.5333,0.9133,0.9133,0.8533,0.28,0.2667,0.3067,0.9867,0.6067,,,0.9533,0.9281,0.8937,0.8942,0.6092,0.6196,0.6388,0.0867,0.0533,0.0533,0.06,0.0733,0.0333,0.04,0.2845,0.6225,0.06,0.0,0.0,0.0002,0.0,0.0012,0.0
LC-QuAD,classification,gpt-4.1-2025-04-14,0.8667,0.78,0.4867,0.88,0.8533,0.78,0.1867,0.1667,0.2133,0.9267,0.6267,,,0.92,0.9128,0.8367,0.8409,0.4928,0.4956,0.5276,0.1407,0.06,0.06,0.1267,0.1067,0.0467,0.0933,0.1889,0.5053,0.0884,0.0,0.0,0.0016,0.0,0.0,0.0
LC-QuAD,classification,gpt-4.1-mini-2025-04-14,0.7133,0.5933,0.3333,0.6467,0.7133,0.5933,0.1467,0.1467,0.16,0.9467,0.6933,,,0.92,0.7772,0.6311,0.6275,0.3912,0.3639,0.3566,0.2867,0.1867,0.18,0.2667,0.26,0.22,0.2667,0.1511,0.3706,0.2234,0.0,0.0,0.0407,0.0,0.077,0.0
LC-QuAD,classification,gpt-4.1-nano-2025-04-14,0.0067,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.96,0.9867,0.9867,0.9067,0.52,0.9867,0.96,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.0,1.0
