Q_ID,action,dataset,llm,set_pair,match_type,a_string,b_string,shared_entities
1,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Èze,Lèze,http://www.wikidata.org/entity/Q273247
1,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Lèze,Èze,http://www.wikidata.org/entity/Q273247
1,zero-shot,LC-QuAD,deepseek-chat,A1×A3,wikidata_alias,Doubs,Doubs River,http://www.wikidata.org/entity/Q14372
1,fixing,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Gard,Gardon,http://www.wikidata.org/entity/Q497327
1,zero-shot,LC-QuAD,deepseek-chat,A2×A3,wikidata_alias,Doubs,Doubs River,http://www.wikidata.org/entity/Q14372
1,fixing,LC-QuAD,deepseek-chat,A2×A4,wikidata_alias,Gard,Gardon,http://www.wikidata.org/entity/Q497327
9,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Sima Ai,Sima Yi,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Sima Ai,Sima Yi,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,zero-shot,LC-QuAD,deepseek-chat,A1×A3,wikidata_alias,Sima Zhong,Emperor Hui of Jin,http://www.wikidata.org/entity/Q7357
9,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Sima Ai,Sima Yi,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,zero-shot,LC-QuAD,deepseek-chat,A2×A3,wikidata_alias,Sima Zhong,Emperor Hui of Jin,http://www.wikidata.org/entity/Q7357
9,classification,LC-QuAD,deepseek-chat,A2×A4,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A2×A4,wikidata_alias,Sima Ai,Sima Yi,http://www.wikidata.org/entity/Q3276223
9,fixing,LC-QuAD,deepseek-chat,A2×A4,wikidata_alias,Sima Yi,Sima Ai,http://www.wikidata.org/entity/Q3276223
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Patty Bouvier,Selma Bouvier,http://www.wikidata.org/entity/Q1444398
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Lenny Leonard,Carl Carlson,http://www.wikidata.org/entity/Q10729673
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Captain Horatio McCallister,The Sea Captain,http://www.wikidata.org/entity/Q15027304
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,The Sea Captain,Captain Horatio McCallister,http://www.wikidata.org/entity/Q15027304
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Carl Carlson,Lenny Leonard,http://www.wikidata.org/entity/Q10729673
12,classification,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Selma Bouvier,Patty Bouvier,http://www.wikidata.org/entity/Q1444398
12,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Patty Bouvier,Selma Bouvier,http://www.wikidata.org/entity/Q1444398
12,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Lenny Leonard,Carl Carlson,http://www.wikidata.org/entity/Q10729673
12,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Carl Carlson,Lenny Leonard,http://www.wikidata.org/entity/Q10729673
12,fixing,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Selma Bouvier,Patty Bouvier,http://www.wikidata.org/entity/Q1444398
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Patty Bouvier,Selma Bouvier,http://www.wikidata.org/entity/Q1444398
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Lenny Leonard,Carl Carlson,http://www.wikidata.org/entity/Q10729673
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Carl Carlson,Lenny Leonard,http://www.wikidata.org/entity/Q10729673
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Dr. Julius Hibbert,Dr. Hibbert,http://www.wikidata.org/entity/Q1504586
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Selma Bouvier,Patty Bouvier,http://www.wikidata.org/entity/Q1444398
12,zero-shot,LC-QuAD,deepseek-chat,A1×A2,wikidata_alias,Dr. Marvin Monroe,Marvin Monroe,http://www.wikidata.org/entity/Q3355753
12,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Patty Bouvier,Selma Bouvier,http://www.wikidata.org/entity/Q1444398
12,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Lenny Leonard,Carl Carlson,http://www.wikidata.org/entity/Q10729673
12,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Elizabeth Hoover,Miss Hoover,http://www.wikidata.org/entity/Q3053993
12,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Carl Carlson,Lenny Leonard,http://www.wikidata.org/entity/Q10729673
12,classification,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Selma Bouvier,Patty Bouvier,http://www.wikidata.org/entity/Q1444398
12,fixing,LC-QuAD,deepseek-chat,A1×A4,wikidata_alias,Patty Bouvier,Selma Bouvier,http://www.wikidata.org/entity/Q1444398
