ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,classification,llama3.1:8b,0.1826,0.0867,1.0,0.3622,0.6867,0.06,0.0557,0.0445,0.0378,0.5751,0.5207,0.0958,0.4059,0.3239,0.2757,0.2769,0.7956,0.1178,,,0.8,0.0022,0.0089,1.0,0.0,0.046,0.2922,0.252775,0.1875,0.18202764976958524,0.7337187500000001,0.569202995391705,1.0,1.0,,0.3622222222222222,,0.6866666666666666,,0.09579488888888887,0.07692307692307693,0.08831168831168831,0.5085353846153846,0.5227628571428572,0.0,0.0,0.0,0.0,1.0,0.0
B,overall,classification,gpt-oss:20b,0.6262,0.4706,1.0,0.723,0.9141,0.4314,0.2234,0.2026,0.2778,0.7732,0.7692,0.0207,0.659,0.4821,0.4933,0.5179,0.6578,0.8933,,,0.4089,0.1444,0.1089,1.0,0.1978,0.2346,0.4978,0.36277499999999996,0.6730310262529833,0.5483870967741935,0.801898090692124,0.7223290322580644,1.0,1.0,,0.7266666666666667,,0.8422222222222222,,0.105504,0.4930232558139535,0.45,0.7713562790697676,0.789205,0.0,0.0,0.0,0.0,0.2442,0.0
C,overall,classification,gpt-4.1-nano-2025-04-14,0.1765,0.3795,0.052,0.0365,0.5482,0.0,0.0,0.0,0.9556,0.2297,0.6078,0.445,0.0033,0.0,0.0,0.9556,0.6844,0.4222,,,1.0,0.9822,0.9689,0.6222,0.5844,0.3185,0.3185,0.7894249999999999,0.9565217391304348,1.0,0.9593316770186336,1.0,0.5819672131147541,0.6371951219512195,,0.5844444444444444,,0.36666666666666664,,0.62875,,0.5822222222222222,,0.735926,0.0,0.0,0.0002,0.0,1.0,1.0
D,overall,classification,mistral-small:24b,0.8308,0.5776,1.0,0.8196,0.8338,0.4498,0.3484,0.2832,0.2933,0.9187,0.8165,0.1398,0.6607,0.6253,0.58,0.5474,0.8889,0.0022,,,0.5511,0.1133,0.12,1.0,0.1178,0.3083,0.5842,0.337775,0.9048780487804878,0.275,0.9530009756097562,0.66433,1.0,1.0,,0.8133333333333334,,0.7955555555555556,,0.1811488888888889,0.5483870967741935,0.5799522673031027,0.8482258064516128,0.8083007159904535,0.0,0.0,0.0,0.0,0.0,0.0
E,overall,classification,llama3.1:70b,0.8095,0.5593,1.0,0.8613,0.9398,0.5481,0.2215,0.1986,0.1978,0.9102,0.8547,0.021,0.8109,0.5248,0.4921,0.4925,0.8311,0.1044,,,0.5311,0.0267,0.0311,1.0,0.04,0.206,0.5031,0.27445,0.8306636155606407,0.15384615384615385,0.9220897025171626,0.49811538461538457,1.0,1.0,,0.8555555555555555,,0.9311111111111111,,0.031287999999999996,0.5529411764705883,0.5636363636363636,0.8511264705882354,0.8485463636363636,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,classification,gemini-2.0-flash,0.8466,0.8375,1.0,0.9356,0.917,0.5994,0.4507,0.3612,0.3911,0.9334,0.926,0.0436,0.6922,0.7006,0.6093,0.5821,0.8778,0.4778,,,0.4733,0.2556,0.2222,1.0,0.4378,0.401,0.6307,0.4789,0.8781038374717833,0.14285714285714285,0.9403708803611738,0.28324285714285713,1.0,1.0,,0.9444444444444444,,0.5822222222222222,,0.33662844444444445,0.8636363636363636,0.8661971830985915,0.9404938311688311,0.9020204225352114,0.0,0.0,0.0,0.0,0.8959,0.0
G,overall,classification,gpt-4.1-mini-2025-04-14,0.8871,0.8443,0.478,0.9354,0.8593,0.6983,0.291,0.2646,0.3867,0.9548,0.9417,0.1258,0.7898,0.5901,0.5575,0.6354,0.8933,0.4822,,,0.6156,0.16,0.16,0.1289,0.2489,0.3141,0.5943,0.17445,0.9367396593673966,0.5641025641025641,0.9760518248175183,0.8106487179487178,0.5041322314049587,0.5258358662613982,,0.9444444444444444,,0.7755555555555556,,0.2110108888888889,0.8640776699029126,0.7631578947368421,0.9486684466019418,0.9084552631578946,0.0,0.0,0.5,0.0,0.0,0.0
H,overall,classification,gpt-4o,0.9336,0.8675,0.9817,0.9696,0.92,0.6795,0.4286,0.4143,0.3,0.9669,0.9639,0.0615,0.7742,0.7004,0.6402,0.3994,0.9667,0.7622,,,0.7289,0.5333,0.5356,0.8533,0.5867,0.381,0.58,0.6272249999999999,0.9816933638443935,0.5384615384615384,0.4591366132723112,0.2595,0.991304347826087,0.9904761904761905,,0.98,,0.42,,0.5717828888888888,0.9150326797385621,0.9292929292929293,0.9810764705882352,0.9723528619528619,0.0,0.0,0.0,0.0,1.0,0.0
I,overall,classification,gpt-4.1-2025-04-14,0.9112,0.8614,0.5912,0.9721,0.9171,0.7644,0.3014,0.285,0.3467,0.9751,0.9687,0.0671,0.8714,0.6458,0.6092,0.6391,0.9244,0.6,,,0.7333,0.0489,0.0511,0.0889,0.1356,0.311,0.6314,0.081125,0.9478672985781991,0.42857142857142855,0.990263981042654,0.765792857142857,0.6040723981900452,0.625,,0.9733333333333334,,0.86,,0.12511333333333333,0.8672768878718535,0.8461538461538461,0.9715448512585811,0.9126769230769229,0.0,0.0,0.0035,0.0,0.0,0.0
J,overall,classification,grok-3-mini,0.8837,0.7651,1.0,0.8935,0.9786,0.724,0.3772,0.3499,0.3911,0.9567,0.9318,0.015,0.8597,0.6473,0.6227,0.627,0.9178,0.9556,,,0.6911,0.1044,0.1067,1.0,0.1711,0.3727,0.6323,0.34555,0.9507389162561576,0.38636363636363635,0.9880662561576354,0.7123863636363637,1.0,1.0,,0.8977777777777778,,0.8777777777777778,,0.11687755555555557,0.7880184331797235,0.5,0.9391523041474654,0.83923125,0.0,0.0,0.0,0.0,0.722,0.0
K,overall,classification,deepseek-chat,0.957,0.7888,0.8959,0.9155,0.9093,0.7139,0.4441,0.4155,0.52,0.9784,0.9482,0.0649,0.8363,0.6938,0.6608,0.7097,,,,,,0.2244,0.2311,0.2489,0.2756,0.4599,0.6881,0.245,,0.9666666666666667,,0.9832764444444444,,0.9111111111111111,,0.9222222222222223,,0.7377777777777778,,0.24136155555555552,,0.82,,0.9546813333333333,0.0,0.0,0.0,0.0,0.0,0.0
L,overall,classification,gemini-2.5-flash,0.8905,0.9294,1.0,0.9741,0.9895,0.8776,0.3544,0.3495,0.3533,0.9411,0.9685,0.0035,0.8725,0.6759,0.644,0.6592,0.8667,0.9489,,,0.84,0.0844,0.0756,1.0,0.1533,0.3524,0.6597,0.328325,0.9454545454545454,0.6,0.950338961038961,0.8364015384615385,1.0,1.0,,0.9733333333333334,,0.9,,0.09407177777777778,0.9414519906323185,0.6521739130434783,0.9660819672131148,0.8821913043478261,0.0,0.0,0.0,0.0,0.0057,0.0
M,overall,classification,gpt-5-nano,0.7606,0.6844,1.0,0.7644,0.1882,0.0044,0.0858,0.5784,0.0756,0.7652,0.7555,0.8103,0.0776,0.0929,0.5823,0.0844,0.7556,0.9067,,,0.0889,0.0933,0.0978,1.0,0.02,0.2466,0.2532,0.302775,0.7945544554455446,0.5869565217391305,0.7980923267326733,0.598995652173913,1.0,1.0,,0.7644444444444445,,0.2,,0.7985184444444444,0.7135922330097088,0.3684210526315789,0.7777582524271844,0.5140342105263158,0.0,0.0,0.0,0.0,1.0,1.0
N,overall,classification,deepseek-reasoner,0.6839,0.8571,0.9029,0.928,0.8593,0.639,0.3102,0.2659,0.5022,0.7578,0.9256,0.1346,0.7068,0.5425,0.5231,0.7082,,,,,,0.1978,0.2111,0.3044,0.3444,0.3594,0.5913,0.264425,,0.7422222222222222,,0.8024633333333333,,0.9111111111111111,,0.9333333333333333,,0.64,,0.3554444444444444,,0.8711111111111111,,0.9296435555555556,0.0,0.0,0.0,0.0,1.0,0.0
O,overall,classification,gemini-2.5-pro,0.816,0.7233,1.0,0.8581,0.9814,0.6907,0.3945,0.3176,0.3378,0.8737,0.8332,0.0062,0.779,0.6912,0.6098,0.6041,0.8822,0.9489,,,0.7044,0.1044,0.1,1.0,0.1622,0.35,0.635,0.34165,0.9056122448979592,0.27586206896551724,0.908906887755102,0.6235344827586207,1.0,1.0,,0.8511111111111112,,0.9222222222222223,,0.06739222222222223,0.7555012224938875,0.36585365853658536,0.8503655256723716,0.5729341463414634,0.0,0.0,0.0,0.0,0.0,0.0
P,overall,classification,gpt-5-mini,0.8167,0.5562,1.0,0.6406,0.9964,0.5125,0.4132,0.4132,0.5644,0.8941,0.7199,0.0036,0.5927,0.6546,0.6537,0.7228,0.8467,0.9622,,,0.4156,0.36,0.3489,1.0,0.3756,0.4636,0.677,0.521125,0.8956310679611651,0.6842105263157895,0.9439932038834952,0.7708736842105263,1.0,1.0,,0.74,,0.7066666666666667,,0.29333333333333333,0.6346604215456675,0.5217391304347826,0.7635707259953163,0.720008695652174,0.0,0.0,0.0,0.0309,0.0008,0.0
Q,overall,classification,o3,0.8143,0.8075,0.8333,0.908,0.9828,0.7864,0.3195,0.2902,0.3511,0.9312,0.9125,0.0083,0.877,0.6244,0.6038,0.6312,0.8489,0.8222,,,0.7822,0.0889,0.0711,0.6978,0.1178,0.3203,0.6198,0.2439,0.8653846153846154,0.35294117647058826,0.9547413461538462,0.7044323529411765,0.8456221198156681,0.8125,,0.9111111111111111,,0.9266666666666666,,0.06531555555555554,0.8305882352941176,0.4,0.919875294117647,0.7225880000000001,0.0,0.0,0.0,0.0,0.0,0.0
R,overall,classification,gpt-5,0.8855,0.8836,1.0,0.9642,0.993,0.8,0.4742,0.4772,0.6111,0.9515,0.9449,0.0041,0.8633,0.7383,0.7114,0.7817,0.9067,0.98,,,0.6422,0.2689,0.2644,1.0,0.3622,0.5208,0.7438,0.47387500000000005,0.9511002444987775,0.5365853658536586,0.98080586797066,0.7745121951219512,1.0,1.0,,0.9733333333333334,,0.7022222222222222,,0.2959671111111111,0.9086651053864169,0.5652173913043478,0.9484564402810305,0.8069782608695653,0.0,0.0,0.0,0.0,0.8491,0.0
