llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
deepseek-chat,600,439,0.2683,0.3303,0.1503,0.4237,0.3417,0.4465,0.0524,0.6165,0.5071,0.1861,0.2869,600,275,0.5417,0.9564,0.8873,0.8618,0.9891,0.9564,0.8582,0.9847,0.9849,0.0146,0.958,0.6261,0.737,0.4381,0.6474,0.5099,0.8058,0.3682,0.4778,-0.1715,0.6711
deepseek-reasoner,600,536,0.1067,0.1884,0.1381,0.4011,0.2892,0.8116,0.1119,0.4938,0.4342,0.0377,0.3405,600,245,0.5917,0.8204,0.8898,0.7959,0.9306,0.9878,0.8816,0.8733,0.9458,0.0112,0.9213,0.632,0.7517,0.3948,0.6414,0.1762,0.7697,0.3795,0.5116,-0.0265,0.5808
gemini-2.0-flash,600,558,0.07,0.3495,0.1308,0.4355,0.371,0.6219,0.0538,0.6309,0.4808,0.138,0.3006,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gemini-2.5-flash,600,524,0.1267,0.3282,0.25,0.4847,0.3969,0.8416,0.2252,0.6384,0.5778,0.0287,0.4858,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gemini-2.5-pro,600,544,0.0933,0.3033,0.2261,0.4265,0.3842,0.8015,0.1967,0.6521,0.5853,0.0338,0.4976,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gpt-4.1-2025-04-14,600,535,0.1083,0.4056,0.1607,0.5103,0.3757,0.6075,0.0935,0.7037,0.563,0.1115,0.3803,600,374,0.3767,0.9144,0.885,0.6123,0.992,0.9759,0.869,0.9776,0.9749,0.0082,0.973,0.5088,0.7243,0.102,0.6163,0.3684,0.7755,0.2739,0.4119,-0.1033,0.5927
gpt-4.1-mini-2025-04-14,600,521,0.1317,0.3493,0.1382,0.4741,0.3628,0.5144,0.0499,0.6598,0.5205,0.1685,0.3071,600,316,0.4733,0.8892,0.8671,0.5475,0.9525,0.9747,0.8513,0.9684,0.9494,0.0062,0.9387,0.5399,0.7289,0.0734,0.5897,0.4603,0.8014,0.3086,0.4289,-0.1623,0.6316
gpt-4.1-nano-2025-04-14,600,428,0.2867,0.2804,0.0981,0.4439,0.3575,0.5631,0.0304,0.566,0.4275,0.177,0.2329,600,2,0.9967,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.3125,0.0,0.0,0.2196,-0.0981,-0.4439,-0.3575,0.4369,-0.0304,-0.066,-0.115,-0.177,-0.2329
gpt-4o,600,292,0.5133,0.3904,0.1507,0.5685,0.4315,0.7089,0.1062,0.6925,0.5716,0.0954,0.3929,600,48,0.92,0.9375,0.9167,0.9792,1.0,0.9792,0.8958,0.9848,0.9827,0.0031,0.9682,0.5471,0.766,0.4107,0.5685,0.2703,0.7896,0.2923,0.4111,-0.0923,0.5753
gpt-5,600,343,0.4283,0.4869,0.3848,0.6618,0.5918,0.9125,0.3586,0.7721,0.7387,0.0227,0.6572,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gpt-5-mini,600,221,0.6317,0.552,0.3937,0.6516,0.6109,0.9186,0.3575,0.7805,0.7386,0.0155,0.6652,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gpt-5-nano,600,250,0.5833,0.512,0.428,0.676,0.612,0.916,0.392,0.7561,0.7113,0.0309,0.6179,600,0,1.0,,,,,,,,,,,,,,,,,,,,
gpt-oss:20b,600,452,0.2467,0.1881,0.1549,0.3916,0.3075,0.8363,0.1261,0.4776,0.4484,0.0465,0.3429,600,0,1.0,,,,,,,,,,,,,,,,,,,,
grok-3-mini,600,484,0.1933,0.3512,0.2727,0.5372,0.4442,0.8905,0.2541,0.6747,0.6103,0.0328,0.5122,600,0,1.0,,,,,,,,,,,,,,,,,,,,
llama3.1:70b,600,551,0.0817,0.2051,0.0617,0.2976,0.2359,0.7078,0.029,0.4837,0.3639,0.0892,0.2201,600,0,1.0,,,,,,,,,,,,,,,,,,,,
llama3.1:8b,600,556,0.0733,0.018,0.0,0.027,0.009,0.8381,0.0,0.1775,0.1219,0.03,0.0683,600,0,1.0,,,,,,,,,,,,,,,,,,,,
mistral-small:24b,590,281,0.5237,0.4199,0.1708,0.5587,0.4484,0.452,0.0178,0.6834,0.5438,0.2469,0.2667,600,0,1.0,,,,,,,,,,,,,,,,,,,,
o3,590,482,0.1831,0.334,0.249,0.5311,0.4087,0.8817,0.2282,0.6647,0.5992,0.03,0.4998,600,117,0.805,0.8034,0.8547,0.5385,0.9145,0.9915,0.8547,0.9522,0.9301,0.0004,0.9129,0.4694,0.6057,0.0074,0.5058,0.1098,0.6265,0.2875,0.3309,-0.0296,0.4131
