ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,fixing,llama3.1:8b,0.14,0.0333,0.1778,0.14,0.6156,0.0244,0.0289,0.02,0.0333,0.475,0.3465,0.1101,0.2542,0.189,0.1807,0.2061,,,,,,0.0,0.0044,0.0089,0.0044,0.0274,0.1919,0.004425,,,,,,,,,,,,,,,,,0.0,0.0003,0.0,0.0,1.0,0.0005
B,overall,fixing,gpt-oss:20b,0.6621,0.7007,0.8163,0.9041,0.9932,0.7007,0.2986,0.3125,0.3067,0.8444,0.8785,0.0009,0.8684,0.6176,0.6219,0.5971,,,,,,0.04,0.0333,0.0733,0.0867,0.3059,0.6122,0.058325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
C,overall,fixing,gpt-4.1-nano-2025-04-14,0.5487,0.3086,0.5686,0.5981,0.5849,0.1972,0.3396,0.3504,0.5289,0.675,0.5237,0.2392,0.3601,0.565,0.5708,0.6304,,,,,,0.1756,0.2089,0.2311,0.1222,0.4063,0.5887,0.18445,,,,,,,,,,,,,,,,,0.0,0.0,0.0001,0.0,0.5,0.0
D,overall,fixing,mistral-small:24b,0.7157,0.4977,0.7452,0.8941,0.9507,0.479,0.4806,0.4987,0.5422,0.8278,0.7611,0.0205,0.7117,0.7512,0.7532,0.7613,,,,,,0.14,0.08,0.1733,0.1533,0.5072,0.7552,0.13665,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
E,overall,fixing,llama3.1:70b,0.6138,0.5558,0.7366,0.8237,0.9485,0.5402,0.226,0.255,0.2244,0.7495,0.803,0.0212,0.7738,0.4952,0.5035,0.4868,,,,,,0.0067,0.0533,0.0911,0.0422,0.2351,0.4952,0.04832500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,fixing,gemini-2.0-flash,0.7933,0.7578,0.8575,0.9226,0.9753,0.7489,0.7897,0.7734,0.76,0.8287,0.9082,0.0103,0.8378,0.8976,0.8852,0.863,,,,,,0.0489,0.0111,0.0267,0.1067,0.7744,0.8819,0.048350000000000004,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
G,overall,fixing,gpt-4.1-mini-2025-04-14,0.7958,0.7396,0.8802,0.9745,0.9169,0.712,0.5128,0.5221,0.5467,0.9134,0.9015,0.0355,0.8202,0.7995,0.8182,0.7926,,,,,,0.0467,0.06,0.1067,0.1022,0.5272,0.8034,0.0789,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
H,overall,fixing,gpt-4o,0.8201,0.7679,0.912,0.9381,0.9412,0.745,0.4286,0.4317,0.5667,0.9096,0.8679,0.0393,0.7847,0.6908,0.6945,0.5313,,,,,,0.2844,0.2933,0.3156,0.3,0.4757,0.6389,0.298325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
I,overall,fixing,gpt-4.1-2025-04-14,0.8445,0.787,0.9188,0.9468,0.9745,0.7731,0.5893,0.594,0.6044,0.9426,0.9382,0.013,0.8629,0.8599,0.8578,0.8475,,,,,,0.0422,0.0422,0.0711,0.1067,0.5959,0.8551,0.06555,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
J,overall,fixing,grok-3-mini,0.8705,0.8376,0.9218,0.9857,0.9857,0.8259,0.4058,0.3768,0.4111,0.9395,0.9542,0.0094,0.8416,0.6667,0.6535,0.6613,,,,,,0.08,0.0911,0.1311,0.1911,0.3979,0.6605,0.123325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
K,overall,fixing,deepseek-chat,0.8349,0.7707,0.8934,0.9574,0.9596,0.7518,0.4561,0.4846,0.5044,0.9333,0.9349,0.0241,0.8463,0.7055,0.7213,0.7207,,,,,,0.0644,0.06,0.1267,0.1489,0.4817,0.7158,0.1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
