dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2)_x,p(A1=A3+A4)_x,p(A1>A3)_x,p(A1>A4)_x,p(A3∅A4)_x,p(A4=A1|3)_x,p(A1=A2)_y,p(A1=A3+A4)_y,p(A1>A3)_y,p(A1>A4)_y,p(A3∅A4)_y,p(A4=A1|3)_y
LC-QuAD,chain-of-thought,deepseek-chat,0.9732,0.7383,0.8859,0.8523,0.8725,0.6309,,,,0.9778,0.8964,0.121,0.7308,,,,,,,,,0.1007,0.1007,0.1409,0.1544,,,0.12417500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,chain-of-thought,deepseek-reasoner,0.9667,0.84,0.92,0.8933,0.9267,0.78,,,,0.9728,0.9377,0.0724,0.851,,,,,,,,,0.0533,0.06,0.0867,0.1067,,,0.07667500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0216,0.0,0.0,0.0,0.0,0.0,0.0216,0.0
LC-QuAD,chain-of-thought,gpt-4.1-2025-04-14,0.9262,0.8523,0.9463,0.8993,0.9732,0.8322,,,,0.9519,0.9343,0.0157,0.8911,,,,,,,,,0.0134,0.0201,0.0336,0.0537,,,0.030199999999999998,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC-QuAD,chain-of-thought,gpt-5,0.9597,0.8322,0.8993,0.906,0.8456,0.6846,,,,0.9612,0.9277,0.1527,0.7641,,,,,,,,,0.1611,0.1678,0.1611,0.1812,,,0.1678,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0262,0.0,0.0,0.0,0.0,0.0,0.0262,0.0
LC-QuAD,chain-of-thought,gpt-5-nano,0.94,0.8,0.8867,0.9067,0.5,0.3133,,,,0.9597,0.9274,0.4957,0.4237,,,,,,,,,0.4867,0.5,0.4933,0.5,,,0.495,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.9646,0.0,0.0,0.0,0.0,0.0,0.9646,0.0
LC-QuAD,chain-of-thought,llama3.1:70b,0.7467,0.5333,0.6867,0.6867,0.8667,0.4333,,,,0.8309,0.7369,0.1229,0.6142,,,,,,,,,0.1,0.12,0.1933,0.18,,,0.14832499999999998,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0019,0.0
LC-QuAD,chain-of-thought,llama3.1:8b,0.6351,0.3378,0.6014,0.5541,0.7973,0.2432,,,,0.7664,0.6143,0.1482,0.4589,,,,,,,,,0.0676,0.0878,0.1824,0.1622,,,0.125,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0632,0.0,0.0,0.0,0.0,0.0,0.0632,0.0
LC-QuAD,classification,deepseek-chat,0.9,0.84,0.6,0.9133,0.58,0.4733,0.44,0.4133,0.44,0.9437,0.9205,0.4136,0.5471,0.6532,0.6185,0.6179,0.8933,0.4333,,,0.52,0.22,0.24,0.4467,0.4333,0.4311,0.6299,0.33499999999999996,0.9280575539568345,0.5454545454545454,0.9597827338129498,0.740909090909091,0.6666666666666666,0.5925925925925926,,,,,,,0.8571428571428571,0.8391608391608392,0.9642857142857143,0.9183146853146854,0.0,0.0,0.0008,0.0,0.0883,0.0,0.0,0.0,0.0008,0.0,0.0883,0.0
LC-QuAD,classification,deepseek-reasoner,0.6333,0.5933,0.4733,0.6933,0.8133,0.4867,0.34,0.2533,0.2667,0.6676,0.7521,0.1663,0.5834,0.5584,0.5024,0.503,0.6533,0.4867,,,0.54,0.1933,0.1,0.2333,0.1733,0.2867,0.5213,0.174975,0.6546762589928058,0.36363636363636365,0.6765122302158274,0.5545454545454546,0.4782608695652174,0.4166666666666667,,,,,,,0.6056338028169014,0.375,0.7532640845070423,0.731975,0.0,0.0,0.0435,0.0,0.8721,0.0,0.0,0.0,0.0435,0.0,0.8721,0.0
LC-QuAD,classification,gemini-2.0-flash,0.9267,0.8,0.5133,0.9467,0.8267,0.6667,0.3067,0.3,0.3,0.9631,0.9319,0.1028,0.8089,0.6074,0.5533,0.5822,0.9067,0.5133,,,0.4267,0.0867,0.08,0.1,0.1467,0.3022,0.581,0.10335000000000001,0.9370629370629371,0.7142857142857143,0.9695622377622378,0.8300428571428571,0.5303030303030303,0.5,,,,,,,0.7291666666666666,0.8333333333333334,0.9050166666666667,0.9445382352941176,0.0,0.0,0.0016,0.0,0.0001,0.0,0.0,0.0,0.0016,0.0,0.0001,0.0
