ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,classification,llama3.1:8b,0.1633,0.0,0.0,0.3383,0.0,0.0,0.045,0.0367,0.0317,0.81,1.0,,,1.0,0.5603,0.0,0.0,0.2944,0.253,0.2497,1.0,0.0,0.0033,1.0,0.0,0.0,0.0,0.0378,0.2657,0.2508,0.0,0.0,0.0,0.0,1.0,0.0
B,overall,classification,gpt-oss:20b,0.56,0.0,0.0,0.5783,0.0,0.0,0.165,0.1533,0.17,0.7183,1.0,,,1.0,0.6823,0.0,0.0,0.3825,0.3879,0.3961,1.0,0.1567,0.1183,1.0,0.2067,0.1467,0.14,0.1628,0.3888,0.3704,0.0,0.0,0.0,0.0,0.2132,0.0
C,overall,classification,gpt-4.1-nano-2025-04-14,0.0067,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.995,0.9967,,,1.0,0.0082,0.001,0.0,0.0,0.0,0.0,0.9166,0.9833,0.9733,0.7133,0.565,0.9767,0.975,0.0,0.0,0.8087,0.0,0.0,0.0,0.0,1.0,1.0
D,overall,classification,mistral-small:24b,0.7367,0.0,0.0,0.7017,0.0,0.0,0.2867,0.235,0.265,0.9033,1.0,,,1.0,0.8173,0.0,0.0,0.5322,0.4859,0.509,1.0,0.1133,0.1217,1.0,0.1083,0.085,0.025,0.2622,0.509,0.3358,0.0,0.0,0.0,0.0,0.0,0.0
E,overall,classification,llama3.1:70b,0.7917,0.0,0.0,0.855,0.0,0.0,0.2033,0.1767,0.18,0.8417,1.0,,,1.0,0.8954,0.0,0.0,0.4882,0.4549,0.4659,1.0,0.0133,0.03,1.0,0.0333,0.0017,0.0017,0.1867,0.4697,0.2692,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,classification,gemini-2.0-flash,0.7367,0.0,0.0,0.6283,0.0,0.0,0.3183,0.2667,0.275,0.8983,1.0,,,1.0,0.8017,0.0,0.0,0.5558,0.4796,0.4825,1.0,0.155,0.1483,1.0,0.32,0.1267,0.25,0.2867,0.506,0.4058,0.0,0.0,0.0,0.0,0.2967,0.0
G,overall,classification,gpt-4.1-mini-2025-04-14,0.7417,0.4583,0.3,0.685,0.5283,0.45,0.22,0.2033,0.2083,0.9267,0.6933,,,0.8933,0.8006,0.5017,0.496,0.4696,0.4422,0.4441,0.4616,0.1667,0.165,0.3467,0.2517,0.1867,0.25,0.2105,0.452,0.2325,0.0,0.0,0.0,0.0,0.0,0.0
H,overall,classification,gpt-4o,0.4067,0.0733,0.0933,0.3183,0.085,0.0717,0.1683,0.1617,0.2033,0.9867,0.9817,,,0.9617,0.4184,0.0786,0.0775,0.2799,0.2563,0.2883,0.9136,0.5683,0.5733,0.89,0.635,0.5433,0.6217,0.1778,0.2748,0.6666,0.0,0.0,0.0,0.0,1.0,0.0
I,overall,classification,gpt-4.1-2025-04-14,0.8667,0.5533,0.4017,0.86,0.61,0.5433,0.2617,0.245,0.2717,0.9283,0.7233,,,0.9133,0.9238,0.6094,0.6081,0.5839,0.5585,0.5693,0.3788,0.0517,0.0533,0.3167,0.1283,0.0567,0.11,0.2595,0.5706,0.1375,0.0,0.0,0.0,0.0,0.0,0.0
J,overall,classification,grok-3-mini,0.7967,0.0,0.0,0.7583,0.0,0.0,0.3,0.28,0.2933,0.9383,1.0,,,1.0,0.8522,0.0,0.0,0.5543,0.5353,0.5398,1.0,0.1133,0.115,1.0,0.175,0.0967,0.1183,0.2911,0.5431,0.3508,0.0,0.0,0.0,0.0,0.7516,0.0
K,overall,classification,deepseek-chat,0.7283,0.4083,0.44,0.6167,0.4533,0.395,0.325,0.2983,0.3033,0.94,1.0,,,1.0,0.7555,0.4542,0.4417,0.5153,0.4871,0.4956,0.5317,0.2167,0.2267,0.4367,0.3467,0.2183,0.2683,0.3089,0.4993,0.3067,0.0,0.0,0.0,0.0,0.0001,0.0
L,overall,classification,gemini-2.5-flash,0.8433,0.0,0.0,0.8217,0.0,0.0,0.295,0.295,0.2867,0.905,1.0,,,1.0,0.89,0.0,0.0,0.609,0.5802,0.6048,1.0,0.0717,0.0667,1.0,0.14,0.0667,0.095,0.2922,0.598,0.3196,0.0,0.0,0.0,0.0,0.0004,0.0
M,overall,classification,gpt-5-nano,0.7167,0.0,0.0,0.6767,0.0,0.0,0.0633,0.5433,0.0567,0.86,1.0,,,1.0,0.72,0.0,0.0,0.0693,0.546,0.0633,1.0,0.1117,0.1067,1.0,0.0217,0.0917,0.095,0.2211,0.2262,0.31,0.0,0.0,0.0,0.0,1.0,1.0
