Q_ID,dataset,llm,R(1-2),R(1-3),R(1-4),R(3-4),R(1-34)
4,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
5,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
6,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
7,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
8,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
9,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
10,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
11,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
0,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
1,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
2,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
3,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
12,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
13,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
14,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
15,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
16,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
17,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
18,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
19,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
20,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
21,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
22,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
23,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Overlap
24,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
25,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
26,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
27,spinach,llama3.1:70b,Equivalence,Contains,Contains,Disjoint,Equivalence
28,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
29,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
30,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
31,spinach,llama3.1:70b,Equivalence,Contains,Contains,Disjoint,Equivalence
32,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
33,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
34,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
35,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
36,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
37,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
38,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
39,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Equivalence
40,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
41,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
42,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
43,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
44,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
45,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
46,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
47,spinach,llama3.1:70b,Equivalence,Overlap,ContainedBy,Disjoint,Equivalence
48,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
49,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
50,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Equivalence
51,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
52,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
53,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
54,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
55,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
56,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
57,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
58,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
59,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Equivalence
60,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
61,spinach,llama3.1:70b,Overlap,ContainedBy,Disjoint,Disjoint,Equivalence
62,spinach,llama3.1:70b,Equivalence,Overlap,ContainedBy,Disjoint,Equivalence
63,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
64,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
65,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
66,spinach,llama3.1:70b,Equivalence,Overlap,ContainedBy,Disjoint,Equivalence
67,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
68,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
69,spinach,llama3.1:70b,Equivalence,ContainedBy,Equivalence,Disjoint,Equivalence
70,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
71,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
72,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
73,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
74,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
75,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
76,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
77,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
78,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
79,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
80,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
81,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
82,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
83,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
84,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
85,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
86,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Overlap
87,spinach,llama3.1:70b,Equivalence,Overlap,Disjoint,Disjoint,Equivalence
88,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
89,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
90,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
91,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
92,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
93,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
94,spinach,llama3.1:70b,Equivalence,ContainedBy,ContainedBy,Disjoint,Equivalence
95,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
96,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
97,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
98,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
99,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
100,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
101,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
102,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
103,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
104,spinach,llama3.1:70b,Equivalence,Contains,Contains,Equivalence,Disjoint
105,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
106,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
107,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
108,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
109,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
110,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
111,spinach,llama3.1:70b,Equivalence,Contains,Overlap,Disjoint,Equivalence
112,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
113,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
114,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
115,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
116,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
117,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
118,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
119,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
120,spinach,llama3.1:70b,Equivalence,Overlap,Disjoint,Disjoint,Equivalence
121,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
122,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
123,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
124,spinach,llama3.1:70b,Equivalence,ContainedBy,Disjoint,Disjoint,Equivalence
125,spinach,llama3.1:70b,Equivalence,ContainedBy,Contains,Disjoint,Equivalence
126,spinach,llama3.1:70b,Equivalence,ContainedBy,Overlap,Disjoint,Equivalence
