dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
qawiki,classification,deepseek-chat,0.98,0.8467,0.9,0.9333,0.56,0.4867,0.5133,0.5133,0.5133,0.9925,0.9582,0.4117,0.5403,0.6638,0.6377,0.6588,0.3667,0.3667,0.4,0.4333,0.5133,0.6534,,,,,,,,,,,,,,,,,2.407412430484045e-35,9.40778259234277e-30,6.403904916571207e-18,5.751490196657771e-25,0.45574127943791265,2.1198660113131956e-13
qawiki,classification,deepseek-r1:1.5b,0.0,0.0,1.0,0.0,0.96,0.0,0.0,0.0,0.0,0.016,0.0086,0.0151,0.0,0.0,0.0,0.0022,0.0,0.0,1.0,0.0,0.0,0.0007,0.0,0.0,0.012761788617886178,0.03086296296296296,1.0,1.0,,,,,,,0.0,0.0,0.006335294117647059,0.013391666666666668,1.0,1.0,1.401298464324817e-45,1.0,0.125,1.0
qawiki,classification,deepseek-r1:70b,0.02,0.0067,1.0,0.14,0.7333,0.0067,0.0,0.0,0.0,0.44,0.2838,0.0843,0.1653,0.141,0.1711,0.1645,0.0,0.0467,1.0,0.0867,0.0,0.1589,0.02142857142857143,0.0,0.4448392857142857,0.3727,1.0,1.0,,,,,,,0.006802721088435374,0.0,0.2867734693877551,0.1389,0.25,1.0,1.401298464324817e-45,9.5367431640625e-07,0.00015641720852954677,1.0
qawiki,classification,deepseek-reasoner,0.7267,0.8533,0.9133,0.8933,0.4533,0.4,0.3867,0.4,0.5267,0.7919,0.902,0.5433,0.4137,0.55,0.5602,0.6708,0.3067,0.3267,0.48,0.5267,0.4378,0.5937,,,,,,,,,,,,,,,,,1.2388827013668045e-23,1.2037062152420224e-35,9.078769416373848e-25,3.6281438664344504e-29,6.11831045524052e-11,5.519584789226428e-12
qawiki,classification,gemini-2.0-flash,0.8667,0.8867,1.0,0.9533,0.3533,0.3133,0.4667,0.4333,0.3733,0.9471,0.9502,0.5642,0.3982,0.6483,0.6061,0.5276,0.3067,0.3,1.0,0.5467,0.4244,0.594,0.87248322147651,0.0,0.9492456375838925,0.625,1.0,1.0,,,,,,,0.8851351351351351,1.0,0.949497972972973,1.0,5.105507778590388e-25,2.8166725436663324e-33,1.262177448353619e-29,5.169878828456423e-26,2.5221536534654515e-06,8.654978955746628e-10
qawiki,classification,gemini-2.5-flash,0.8933,0.9467,1.0,0.98,0.8267,0.7933,0.26,0.3267,0.2467,0.9404,0.9787,0.1678,0.7438,0.5754,0.5794,0.5702,0.12,0.12,1.0,0.2467,0.2778,0.575,0.9504132231404959,0.6551724137931034,0.9550727272727273,0.8790793103448277,1.0,1.0,,,,,,,0.9652777777777778,0.5,0.9810659722222224,0.9222333333333333,1.2369338993865465e-27,1.2406840701742573e-30,4.1359030627651384e-25,2.4486242498060206e-27,0.7492586247608418,1.6794639150698915e-22
qawiki,classification,gemini-2.5-pro,0.9,0.72,1.0,0.8467,0.88,0.7,0.3,0.2333,0.28,0.9486,0.8374,0.11,0.7094,0.5939,0.499,0.5359,0.1067,0.0933,1.0,0.22,0.2711,0.5429,0.9848484848484849,0.2777777777777778,0.9848484848484849,0.6829444444444444,1.0,1.0,,,,,,,0.7571428571428571,0.2,0.8624642857142858,0.48690999999999995,4.062633661888211e-29,2.726143732806038e-20,1.9721522630525295e-31,5.90963701961033e-19,0.020073851919732988,6.606356572585723e-17
qawiki,classification,gpt-4.1-2025-04-14,0.92,0.8867,0.4667,0.98,0.7933,0.74,0.2667,0.2667,0.2867,0.9874,0.9681,0.2003,0.7671,0.5831,0.569,0.5555,0.0933,0.0933,0.1533,0.2067,0.2734,0.5692,0.9432624113475178,0.5555555555555556,0.9937127659574467,0.8890333333333333,0.46621621621621623,0.5,,,,,,,0.8843537414965986,1.0,0.9674442176870747,1.0,2.524354896707238e-29,1.4344792661954539e-33,0.12628947438543037,4.064211383698653e-27,0.004903382516355935,9.516916568199439e-27
qawiki,classification,gpt-4.1-mini-2025-04-14,0.9067,0.8733,0.4267,0.9533,0.6667,0.6133,0.3267,0.3733,0.3333,0.9635,0.9346,0.3269,0.6176,0.5754,0.5618,0.5564,0.2333,0.2333,0.2133,0.3533,0.3444,0.5645,0.9565217391304348,0.3333333333333333,0.9821123188405797,0.749025,0.4666666666666667,0.4166666666666667,,,,,,,0.8785714285714286,0.8,0.9374614285714286,0.8949999999999999,1.262177448353619e-29,4.2262125217147407e-32,0.7754496546815659,3.75624008630037e-26,0.09291188222054622,1.137373342260413e-24
qawiki,classification,gpt-4.1-nano-2025-04-14,0.9667,0.54,0.68,0.54,0.3867,0.0,0.94,0.9533,0.9333,0.9667,0.6912,0.6075,0.0,0.94,0.9533,0.9333,0.98,0.9867,0.6867,0.54,0.9422,0.9422,0.9489795918367347,1.0,0.9489795918367347,1.0,0.6052631578947368,0.7053571428571429,,,,,,,,0.54,,0.691204,6.265218627961812e-30,9.099722954884666e-15,0.00035453385598683347,0.0006361729964503618,1.1296023055413025e-05,0.00048828125
