usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_13	Which television shows were created by John Cleese?	What television programs did John Cleese create?	Which television shows were created by John Cleese and first aired before the year 2000?	Which television shows were created by John Cleese and first aired on or after the year 2000?		['Fawlty Towers', 'Seven Deadly Sins (1970 television series)', 'The Human Face']	['Fawlty Towers', 'Seven Deadly Sins (1970 television series)', 'The Human Face']		"[""The Secret Policeman's Ball 2006""]"	['Fawlty Towers', 'Whoops Apocalypse', 'The Human Face', 'Seven Deadly Sins', 'This Is David Lander']
no_usparql_17	Give me all current communist countries.	What countries have a communist government?	Give me all communist countries in Asia.	Give me all communist countries outside of Asia.		"[""People's Republic of China"", 'Socialist Republic of Vietnam', ""Lao People's Democratic Republic"", 'Republic of Cuba', ""Democratic People's Republic of Korea""]"	"[""People's Republic of China"", 'Socialist Republic of Vietnam', ""Lao People's Democratic Republic"", 'Republic of Cuba', ""Democratic People's Republic of Korea""]"		['Republic of Cuba']	"[""People's Republic of China"", 'Socialist Republic of Vietnam', ""Lao People's Democratic Republic"", ""Democratic People's Republic of Korea""]"
no_usparql_26	Which politicians were married to a German person?	Which politicians had a spouse who was German?	Which politicians were married to a German woman?	Which politicians were married to a German man or non-binary person?						['Boris Johnson', 'Gerhard Schröder', 'Nicolas Sarkozy', 'John Kerry', 'Helmut Kohl']
no_usparql_29	Give me all soccer clubs in Spain that play in La Liga.	Can you list every soccer club located in Spain that play in La Liga?	Please tell me all the Spanish football clubs that play in La Liga and have won the Champions League.	Please tell me all the Spanish football clubs that play in La Liga and never won the Champions League.		['Real Madrid Club de Fútbol', 'Fútbol Club Barcelona', 'Club Atlético de Madrid', 'Real Sociedad de Fútbol', 'Athletic Club', 'Villarreal Club de Fútbol', 'Real Betis Balompié', 'Sevilla Fútbol Club', 'Getafe Club de Fútbol', 'Club Atlético Osasuna', 'Real Club Deportivo Mallorca', 'Girona Fútbol Club', 'Cádiz Club de Fútbol', 'Deportivo Alavés', 'Unión Deportiva Almería', 'Rayo Vallecano de Madrid', 'Valencia Club de Fútbol', 'Granada Club de Fútbol', 'Unión Deportiva Las Palmas', 'Club Deportivo Leganés']	['Real Madrid Club de Fútbol', 'Fútbol Club Barcelona', 'Club Atlético de Madrid', 'Real Sociedad de Fútbol', 'Athletic Club', 'Villarreal Club de Fútbol', 'Real Betis Balompié', 'Sevilla Fútbol Club', 'Getafe Club de Fútbol', 'Club Atlético Osasuna', 'Real Club Deportivo Mallorca', 'Girona Fútbol Club', 'Cádiz Club de Fútbol', 'Deportivo Alavés', 'Unión Deportiva Almería', 'Rayo Vallecano de Madrid', 'Valencia Club de Fútbol', 'Granada Club de Fútbol', 'Unión Deportiva Las Palmas', 'Club Deportivo Leganés']		['Real Club Deportivo Mallorca', 'Real Sociedad de Fútbol', 'Real Club Deportivo de La Coruña', 'Real Betis Balompié', 'Real Club Celta de Vigo', 'Real Club Deportivo Espanyol de Barcelona', 'Club Atlético de Madrid', 'Athletic Club de Bilbao', 'Sevilla Fútbol Club', 'Valencia Club de Fútbol', 'Villarreal Club de Fútbol', 'Getafe Club de Fútbol', 'Club Atlético Osasuna', 'Granada Club de Fútbol', 'Cádiz Club de Fútbol', 'Deportivo Alavés', 'Elche Club de Fútbol', 'Real Valladolid Club de Fútbol']	['Real Madrid Club de Fútbol', 'Fútbol Club Barcelona']
no_usparql_32	Which telecommunications organizations are located in Belgium?	Which telecommunications organizations are based in Belgium?	Which telecommunications organizations are located in Belgium and headquartered in Brussels?	Which telecommunications organizations are located in Belgium but not headquartered in Brussels?		['Proximus Group', 'Telenet Group', 'Orange Belgium', 'Belgacom International Carrier Services', 'BICS', 'Citymesh', 'VOO']	['Proximus Group', 'Telenet Group', 'Orange Belgium', 'Belgacom International Carrier Services', 'BICS', 'Citymesh', 'VOO']		['Telenet Group', 'Orange Belgium']	['Proximus Group', 'Belgacom International Carrier Services']
no_usparql_40	Which actors were born in Germany?	What actors have a German birthplace?	Which actors were born in Germany and are currently living there?	Which actors were born in Germany but are currently living outside of Germany?						['Daniel Brühl', 'Til Schweiger', 'Moritz Bleibtreu', 'Heike Makatsch', 'August Diehl', 'Sibel Kekilli', 'Franka Potente', 'Jürgen Prochnow', 'Armin Mueller-Stahl', 'Thomas Kretschmann']
no_usparql_170	In which countries are the Himalayas located?	Which countries do the Himalayas span?	In which countries with a population of less than one million are the Himalayas located?	In which countries with a population of at least one million are the Himalayas located?		['India', 'Nepal', 'China', 'Bhutan', 'Pakistan']	['India', 'Nepal', 'China', 'Bhutan', 'Pakistan']		['India', 'Nepal', 'China', 'Pakistan']	['Bhutan']
no_usparql_207	On what video streaming services can I watch the Hunter x Hunter anime series?	Which platforms stream the Hunter x Hunter anime series?	On which video streaming services can I watch the Hunter x Hunter anime series with a subscription?	On which video streaming services can I watch the Hunter x Hunter anime series without subscription?		['Netflix', 'Hulu', 'Crunchyroll', 'Peacock', 'Tubi', 'Pluto TV']	['Netflix', 'Hulu', 'Crunchyroll', 'Peacock', 'Tubi', 'Pluto TV']			['Netflix', 'Hulu', 'Crunchyroll', 'Peacock', 'Amazon Prime Video']
no_usparql_214	Through which countries does the Danube flow?	Which countries does the Danube flow through?	Through which countries that use Central Europe Time does the Danube flow?	Through which countries that do not use Central Europe Time does the Danube flow?		['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']		['Bulgaria', 'Romania', 'Moldova', 'Ukraine']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia']
no_usparql_230	What are the professions of John Lennon’s sons?	In which professions are John Lennon’s sons involved?	What are the musical professions of John Lennon’s sons?	What are the non-musical professions of John Lennon’s sons?		['Musician', 'Songwriter', 'Producer', 'Photographer', 'Filmmaker', 'Author']	['Musician', 'Songwriter', 'Producer', 'Photographer', 'Filmmaker', 'Author']		['Photographer', 'Filmmaker', 'Author', 'Actor', 'Model']	['Musician', 'Songwriter']
