ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,zero-shot,llama3.1:8b,0.0417,0.0067,0.12,0.0783,0.6917,0.0,0.036,,,0.2587,0.2058,0.0817,0.1037,0.2222,,,0.91,0.7833,0.8367,0.3933,0.9717,0.0033,0.005,0.0117,0.01,0.027,0.15,0.0075,0.08571428571428572,0.03893805309734513,0.32035714285714284,0.2549033628318584,0.07352941176470588,0.12593984962406016,0.13043478260869565,0.07156308851224105,0.7217391304347827,0.6845360824742268,0.0644191304347826,0.08585876288659794,0.0,0.00686106346483705,0.24532352941176475,0.20468216123499142,1.0,1.0,1.0,1.0,1.0,1.0
B,overall,zero-shot,gpt-oss:20b,0.225,0.135,0.38,0.32,0.825,0.095,0.22705,,,0.4155,0.3844,0.0787,0.2699,0.44435,,,0.2667,0.4033,0.3233,0.7883,0.1483,0.12,0.175,0.1067,0.1917,0.1824,0.3995,0.14835,0.2291296625222025,0.16216216216216217,0.42431918294849025,0.2814864864864865,0.38267148014440433,0.34782608695652173,0.314878892733564,0.45454545454545453,0.8357664233576643,0.7115384615384616,0.07068430656934306,0.16281923076923077,0.13829787234042554,0.08333333333333333,0.3885035460992908,0.32074166666666665,1.0,1.0,1.0,1.0,1.0,1.0
C,overall,zero-shot,gpt-4.1-nano-2025-04-14,0.29,0.1067,0.4217,0.4533,0.6533,0.045,0.56895,,,0.51,0.3744,0.1559,0.222,0.66305,,,0.4483,0.5183,0.5133,0.5333,0.955,0.0817,0.1017,0.1833,0.185,0.1779,0.3653,0.13792500000000002,0.3108433734939759,0.24324324324324326,0.5509775903614458,0.4181216216216216,0.423728813559322,0.42032967032967034,0.4596774193548387,0.44886363636363635,0.6497326203208557,0.6592920353982301,0.16599679144385027,0.13912522123893806,,0.10666666666666667,,0.3743531666666667,1.0,1.0,1.0,1.0,1.0,1.0
D,overall,zero-shot,mistral-small:24b,0.339,0.2356,0.4051,0.4508,0.5085,0.0068,0.36255000000000004,,,0.447,0.4216,0.3447,0.2153,0.5247999999999999,,,0.3881,0.5932,0.5508,0.5068,0.8814,0.6,0.2271,0.3322,0.3881,0.3784,0.4574,0.38685,0.3512014787430684,0.20408163265306123,0.46027024029574864,0.3000897959183673,0.0,0.4057724957555178,0.5714285714285714,0.44939965694682676,0.5076660988074957,0.6666666666666666,0.344718398637138,0.3333333333333333,0.3,0.22692307692307692,0.4678114285714286,0.4153848076923077,1.0,1.0,1.0,1.0,1.0,1.0
E,overall,zero-shot,llama3.1:70b,0.17,0.0633,0.2733,0.2383,0.7033,0.0233,0.2033,,,0.4124,0.3534,0.1045,0.1919,0.4882,,,0.1933,0.6833,0.6217,0.705,0.0383,0.02,0.0117,0.0183,0.06,,,0.0275,0.17294520547945205,0.0625,0.41487534246575347,0.32094374999999997,0.21739130434782608,0.2779783393501805,0.24074074074074073,0.2374429223744292,0.7058823529411765,0.4,0.10299714285714287,0.27999999999999997,0.06091370558375635,0.2222222222222222,0.35221455160744497,0.43018888888888884,1.0,1.0,1.0,1.0,1.0,1.0
F,overall,zero-shot,gemini-2.0-flash,0.3267,0.1117,0.415,0.36,0.645,0.055,0.48034999999999994,,,0.6008,0.4348,0.1138,0.2544,0.7008000000000001,,,0.3733,0.445,0.6233,0.6433,0.2417,0.0017,0.005,0.0033,0.11,0.5407,0.7426,0.03,0.332089552238806,0.28125,0.6044757462686567,0.569709375,0.41025641025641024,0.4318181818181818,0.4609375,0.3326271186440678,0.6541889483065954,0.5128205128205128,0.11379019607843137,0.11321794871794874,0.11392405063291139,0.10317460317460317,0.43384704641350214,0.438176984126984,1.0,1.0,1.0,1.0,1.0,1.0
G,overall,zero-shot,gpt-4.1-mini-2025-04-14,0.175,0.0867,0.4433,0.235,0.7533,0.0383,0.28015,,,0.3572,0.3519,0.0764,0.165,0.53845,,,0.2417,0.455,0.65,0.75,0.07,0.025,0.0733,0.0683,0.1617,0.2153,0.4823,0.08207500000000001,0.1794871794871795,0.12962962962962962,0.36621263736263737,0.2662722222222222,0.3526570048309179,0.4910941475826972,0.224,0.23789473684210527,0.7542087542087542,0.6666666666666666,0.07574090909090908,0.14445,0.08347826086956522,0.16,0.35306626086956516,0.326256,1.0,1.0,1.0,1.0,1.0,1.0
H,overall,zero-shot,gpt-4o,0.33,0.265,0.3583,0.3183,0.195,0.015,0.48985,,,0.3465,0.3213,0.7893,0.0478,0.52095,,,0.335,0.565,0.64,0.2017,0.3533,0.2583,0.8667,0.8183,0.9,0.3797,0.6086,0.710825,0.32275132275132273,0.45454545454545453,0.34020582010582007,0.45454545454545453,0.37894736842105264,0.348780487804878,0.3287671232876712,0.31688804554079697,0.19630872483221476,0.0,0.7878941275167786,1.0,0.23529411764705882,0.32057416267942584,0.29619616368286444,0.36838038277511964,1.0,1.0,1.0,1.0,1.0,1.0
I,overall,zero-shot,gpt-4.1-2025-04-14,0.31,0.1783,0.515,0.4083,0.6383,0.115,0.28049999999999997,,,0.6104,0.5669,0.1077,0.3714,0.5883,,,0.3417,0.5183,0.5183,0.6433,0.1217,0.0183,0.0217,0.05,0.06,0.2627,0.5557,0.0375,0.31569664902998235,0.21212121212121213,0.6203509700176367,0.43996060606060605,0.5168918918918919,0.375,0.4473684210526316,0.31868131868131866,0.6415410385259631,0.0,0.10458643216080402,0.7222333333333334,0.17953020134228187,0.0,0.5675852348993289,0.469725,1.0,1.0,1.0,1.0,1.0,1.0
J,overall,zero-shot,grok-3-mini,0.2917,0.2467,0.5233,0.415,0.8883,0.21,0.3767,,,0.5484,0.5531,0.04,0.4203,0.6309,,,0.3417,0.5217,0.42,0.8917,0.2417,0.0567,0.0767,0.075,0.1333,,,0.085425,0.3,0.2,0.5607647272727273,0.411844,0.523725834797891,0.5161290322580645,0.41450777202072536,0.42857142857142855,0.8993174061433447,0.42857142857142855,0.03605699658703072,0.20622142857142856,0.2547332185886403,0.0,0.562084165232358,0.27914736842105264,1.0,1.0,1.0,1.0,1.0,1.0
