llm,n_questions,n_alias_pairs,n_unique_pairs
gemini-2.5-pro,136,3082,1004
o3,131,3391,1102
deepseek-reasoner,130,2291,908
deepseek-chat,122,2509,1020
llama3.1:70b,117,1148,444
gpt-4.1-2025-04-14,116,1918,679
gpt-oss:20b,114,1568,631
gpt-4.1-mini-2025-04-14,111,1378,450
gemini-2.0-flash,110,1447,588
grok-3-mini,110,2098,982
gpt-5,108,1891,583
gemini-2.5-flash,106,1496,583
llama3.1:8b,105,852,359
gpt-4o,101,1226,433
gpt-4.1-nano-2025-04-14,98,1055,377
gpt-5-mini,98,1468,446
gpt-5-nano,91,962,344
mistral-small:24b,88,886,277
